#Table1
specobjid,ra,dec,plate,mjd,fiberid
717269470510344192,315.00519,-7.1934279,637,52174,259
1099036129480435712,257.88044,33.595388,976,52413,574
2837389338185066496,237.68164,11.346521,2520,54584,442
624894827279968256,144.3867,54.618835,555,52266,74
462849620679092224,44.906114,0.62673576,411,51817,381
1378205711091132416,174.06308,10.57526,1224,52765,379
1932140511615805440,223.84395,12.121759,1716,53827,350
2642528650955614208,152.62729,25.997088,2347,53757,151
2038017433503033344,213.28812,9.3364555,1810,53794,504
2290143690586351616,166.41591,34.426286,2034,53466,230
1974917553834715136,171.67925,15.765243,1754,53385,324
2446677869343041536,239.48613,21.176356,2173,53874,354
720716989286344704,321.58192,-6.9024873,640,52178,513
2075194121030494208,224.11339,31.363648,1843,53816,584
2979187303743776768,186.22692,21.379555,2646,54479,204
301805798739175424,149.49356,-0.39835189,268,51633,235
895235601370998784,234.05038,52.698492,795,52378,528
2978041887471986688,184.08088,21.564188,2645,54477,133
892989573859141632,228.82624,55.259844,793,52370,549
2194508718404560896,149.58728,32.400625,1949,53433,472
2844134292232103936,241.91377,10.598803,2526,54582,404
2076190283967522816,226.365,29.788438,1844,54138,112
452743459149735936,27.427106,0.25048134,402,51793,479
2016499449110489088,193.72955,8.7816549,1791,54266,46
683580987245881344,219.40171,61.919418,607,52368,581
1009998780595988480,133.39271,43.817314,897,52605,242
963784103394568192,210.1332,4.0826777,856,52339,50
459535142944270336,40.667974,0.95755971,408,51821,611
1907422934511675392,191.72514,13.219642,1694,53472,540
725193101039134720,327.56153,-6.8873427,644,52173,413
863647729702692864,139.99,51.102669,767,52252,300
811898664782948352,337.78783,-8.1501615,721,52228,454
1057267335749986304,141.95448,40.642222,939,52636,172
1792437649659684864,140.38757,32.222354,1592,52990,18
523709240104216576,63.042415,-5.1859044,465,51910,603
738667890496006144,10.592888,-10.628805,656,52148,282
635137052265965568,130.76239,3.0385829,564,52224,471
370579708397512704,177.30804,-1.7483322,329,52056,577
2828420609975805952,179.22042,17.765032,2512,53877,582
522575918460332032,60.454082,-5.6823991,464,51908,576
623900589427812352,141.30987,54.740862,554,52000,553
2730428839569156096,127.78915,14.58026,2425,54139,442
2079710371081381888,232.16922,28.424958,1847,54176,630
631799760788940800,163.1365,61.422486,561,52295,618
1996303325292685312,197.82028,14.436937,1773,53112,301
560726774195972096,212.74052,64.552972,498,51984,104
2934264001959323648,204.00838,17.420307,2606,54154,614
