#Table1
specobjid,ra,dec,plate,mjd,fiberid
814163108527368192,341.73156,-8.7161592,723,52201,500
1029092901470103552,209.37123,-2.7939011,914,52721,74
2649407471197644800,158.33606,27.673415,2353,53794,600
717269470510344192,315.00519,-7.1934279,637,52174,259
2514188432557762560,185.54168,27.31735,2233,53845,196
1496470006441994240,225.74158,50.487459,1329,52767,542
2805897119330756608,168.86315,22.427794,2492,54178,562
895195194318678016,232.342,52.879802,795,52378,381
2446677869343041536,239.48613,21.176356,2173,53874,354
968434212610795520,122.06026,30.154107,860,52319,583
720716989286344704,321.58192,-6.9024873,640,52178,513
592327293636995072,199.63011,3.3302063,526,52312,378
2075194121030494208,224.11339,31.363648,1843,53816,584
1908568625644595200,195.25813,13.040861,1695,53473,612
2087459993677752320,247.07134,20.063539,1854,53566,151
2277713443215665152,200.85519,34.51648,2023,53851,65
3117714224776767488,206.75644,21.900331,2769,54527,354
476336780128315392,17.884735,13.588618,423,51821,295
870493566055507968,162.7689,62.866505,773,52376,629
1628088425485723648,178.55028,46.597827,1446,53080,135
691426845278627840,231.72752,56.920104,614,53437,452
749985713453295616,30.16316,-8.7652814,666,52149,496
2352110792075143168,181.03159,34.321186,2089,53498,385
2647017957183481856,155.57336,28.318288,2351,53772,99
2290143690586351616,166.41591,34.426286,2034,53466,230
393107596149549056,256.39047,64.667977,349,51699,613
2038017433503033344,213.28812,9.3364555,1810,53794,504
2422966351334238208,226.79634,23.948165,2152,53874,108
1535778376701208576,168.48901,42.89065,1364,53061,185
1932140511615805440,223.84395,12.121759,1716,53827,350
2365611426514495488,203.55623,37.259591,2101,53858,348
2642528650955614208,152.62729,25.997088,2347,53757,151
462849620679092224,44.906114,0.62673576,411,51817,381
863689786022455296,141.76334,52.387907,767,52252,453
1130480517968324608,166.6951,6.8409375,1004,52723,280
3248375513193932800,163.55871,10.310908,2885,54497,561
2847483404700641280,243.67407,9.251627,2529,54585,300
1378205711091132416,174.06308,10.57526,1224,52765,379
1929795523057838080,223.70845,11.24292,1714,53521,11
1611320047052023808,160.04662,45.357234,1431,52992,572
570875547589044224,162.84287,2.1268417,507,52353,161
860202134904268800,134.46746,46.364664,764,52238,53
2908326521670232064,147.94058,16.706818,2583,54095,462
2003005123156011008,120.32454,48.454887,1779,53089,106
891744651533379584,225.42534,55.636029,792,52353,116
1887023414951045120,226.00741,44.986404,1676,53147,55
1970479924452026368,164.93846,14.695266,1750,53358,564
1638344944978520064,192.27284,47.973725,1455,53089,584
1543712448580708352,185.27864,45.814472,1371,52821,377
864714531346081792,144.87539,51.684338,768,52281,85
1544868863978530816,189.39362,44.79215,1372,53062,488
462887553830250496,46.093289,0.37549985,411,51817,519
2501856309368875008,175.55136,30.270385,2222,53799,388
1099036129480435712,257.88044,33.595388,976,52413,574
624894827279968256,144.3867,54.618835,555,52266,74
667689190196013056,234.31392,2.5138152,593,52026,111
1595521441850222592,238.44487,36.365075,1417,53141,441
2837389338185066496,237.68164,11.346521,2520,54584,442
2188862725390624768,144.55903,28.733977,1944,53385,412
1350117860885686272,136.09713,40.117982,1199,52703,596
672254912784001024,170.49322,65.287834,597,52059,337
2076190283967522816,226.365,29.788438,1844,54138,112
1118059060013328384,145.88175,5.5254092,993,52710,147
1335344271942772736,128.7932,3.9836522,1186,52646,98
671169150269286400,168.33594,64.181543,596,52370,483
397592779024263168,258.39183,59.841199,353,51703,546
2661756360210802688,151.45961,21.585565,2364,53737,469
2239568634743646208,193.44772,38.477046,1989,53772,559
993147111690233856,179.7783,53.112043,882,52370,376
1059641182579091456,148.86828,43.959572,941,52709,616
2098774513838745600,110.78277,42.109495,1864,53313,353
1894893998909188096,244.81894,33.710668,1683,53436,16
620420085252646912,133.36443,50.493955,551,51993,179
490896789021419520,120.2723,44.178071,436,51883,16
1031443651575703552,212.37142,-1.9549076,916,52378,434
1368009664217769984,144.93558,39.400793,1215,52725,150
2075035791356094464,223.93105,30.056201,1843,53816,8
2944339382280153088,193.40295,20.625248,2615,54483,404
2099960611990431744,113.30981,43.180288,1865,53312,572
2021130321252083712,197.54709,7.9712261,1795,54507,509
2580658306288740352,143.31241,21.857911,2292,53713,348
1830836726956845056,186.33389,8.7474379,1626,53472,449
1352267680509356032,138.71425,42.332477,1201,52674,225
2194499097677817856,149.09672,32.60603,1949,53433,437
2184357751340165120,141.69407,28.201825,1940,53383,407
2550187265015965696,119.5319,11.612796,2265,53674,87
1012356133777598464,139.10584,47.244901,899,52620,626
892989573859141632,228.82624,55.259844,793,52370,549
679031752651466752,201.26097,65.070944,603,52056,415
2194508718404560896,149.58728,32.400625,1949,53433,472
2518663719475505152,190.37354,28.870018,2237,53828,93
1475082585599141888,174.70279,57.238222,1310,53033,559
2421955636158818304,226.35178,28.15916,2151,54523,527
2834061665958389760,237.09776,14.23552,2517,54567,624
2168587180077770752,125.10092,23.580691,1926,53317,378
2077460494876174336,229.40541,29.085017,1845,54144,637
2806944952855062528,167.98541,23.960473,2493,54115,278
2075171581042124800,223.39225,31.233722,1843,53816,502
707191895159236608,249.44399,42.913795,628,52083,461
2034503675610687488,210.98397,8.1254622,1807,54175,9
487630689563338752,116.0865,38.311089,433,51873,422
2648183164597463040,158.30538,23.877791,2352,53770,242
2675274856227956736,158.74346,20.820065,2376,53770,497
1928683921935984640,223.47461,9.5731226,1713,53827,63
459535142944270336,40.667974,0.95755971,408,51821,611
3089616475728668672,211.20289,16.372929,2744,54272,535
575490752394586112,170.60064,3.3007204,511,52636,567
3344025329772554240,245.13046,19.665899,2970,54589,373
1907422934511675392,191.72514,13.219642,1694,53472,540
3123260436422617088,218.09519,18.728724,2774,54534,51
2823854063274190848,174.61111,17.556861,2508,53875,353
850116314692347904,115.29459,31.200061,755,52235,225
2045779161917712384,229.21386,6.6848737,1817,53851,69
1876906538333923328,200.20282,51.053808,1667,53430,114
1551603647559788544,208.74854,40.871734,1378,53061,413
2568296222146193408,132.62248,18.897318,2281,53711,431
2285632120053327872,168.16297,35.657843,2030,53499,201
1902945173457889280,253.68776,27.528996,1690,53475,634
1953524899976865792,113.8308,43.15502,1735,53035,322
2839555650734811136,239.5911,12.092564,2522,54570,131
433488263177594880,356.16683,-0.54213065,385,51877,61
1318543186309703680,244.20593,41.904554,1171,52753,416
2069528056879409152,209.85759,35.777849,1838,53467,451
713938774744131584,309.37664,-5.5037167,634,52164,430
2801382249222662144,166.04752,22.662974,2488,54149,521
735263527568173056,5.7050867,-10.665598,653,52145,185
519060230064072704,53.659501,-7.1969515,461,51910,74
2562687888227592192,128.38718,16.736415,2276,53712,508
834323754740901888,344.40922,13.679299,741,52261,116
1569516616910137344,214.67593,42.562039,1394,53108,44
1057267335749986304,141.95448,40.642222,939,52636,172
2824950006606227456,176.2868,18.65084,2509,54180,244
1640551940146358272,193.56485,48.147419,1457,53116,421
1635935365162362880,188.81725,46.385959,1453,53084,10
811898664782948352,337.78783,-8.1501615,721,52228,454
846682265269331968,4.3556656,14.192381,752,52251,20
1609071545739667456,158.67048,44.518068,1429,52990,584
1345477372412979200,141.09761,6.7140767,1195,52724,98
2790083666863220736,160.22095,21.349619,2478,54097,377
672305215440971776,173.54803,64.852035,597,52059,520
725193101039134720,327.56153,-6.8873427,644,52173,413
2642576754589329408,151.67762,27.020951,2347,53757,326
2647160069061371904,156.75634,29.830613,2351,53772,616
830940286946404352,338.40007,12.5328,738,52521,95
863647729702692864,139.99,51.102669,767,52252,300
1613455299354585088,162.13005,39.529752,1433,53035,148
2797924835362105344,164.7994,17.906769,2485,54176,231
2018896103155460096,195.98926,10.55375,1793,53883,573
2260976121120057344,177.07868,31.902813,2008,53473,615
2815908720880412672,173.3574,24.391078,2501,54084,120
1942325844944906240,235.89144,10.375529,1725,54266,540
667705407992522752,233.50244,2.9377497,593,52026,170
1184548448196651008,232.76036,43.943788,1052,52466,370
523709240104216576,63.042415,-5.1859044,465,51910,603
550675587744688128,158.91613,66.575113,489,51930,402
635137052265965568,130.76239,3.0385829,564,52224,471
1792437649659684864,140.38757,32.222354,1592,52990,18
738667890496006144,10.592888,-10.628805,656,52148,282
1060731898013181952,149.80389,44.849764,942,52703,488
1049368993703421952,127.54379,32.231318,932,52620,110
1929949454685726720,223.35583,12.617878,1714,53521,571
2918374684951078912,158.05408,15.458207,2592,54178,153
551725621332436992,164.42546,65.303994,490,51929,126
574348905290950656,168.7819,2.6326719,510,52381,509
2582981299815868416,144.08117,26.541792,2294,53733,607
2733782894118987776,130.15841,12.829223,2428,53801,356
1945615016564647936,239.65741,8.2293932,1728,53228,218
2934264001959323648,204.00838,17.420307,2606,54154,614
812977010744780800,338.75308,-10.204675,722,52224,281
560726774195972096,212.74052,64.552972,498,51984,104
2635749886573701120,148.5644,24.275081,2341,53738,66
1808240931376228352,171.98654,11.907532,1606,53055,166
1553757866102384640,214.98633,37.653566,1380,53084,58
635108739841550336,130.85876,3.6080167,564,52224,368
2946559021697492992,196.146,18.796956,2617,54502,287
2973658405345978368,203.80697,20.133166,2641,54230,570
954878064746063872,193.6517,5.6223443,848,52669,418
1612313730870175744,160.05615,38.595682,1432,53003,91
577680144068536320,173.36579,3.45538,513,51989,340
1606825793340598272,155.65603,39.530601,1427,52996,606
731869610017581056,0.29570067,-10.879859,650,52143,126
1551624263402809344,208.89509,39.986154,1378,53061,488
2908368577989994496,149.2143,16.779112,2583,54095,615
2438707515559536640,235.98428,20.706141,2166,54232,30
638538666834159616,139.42348,3.6702379,567,52252,558
1799268091490756608,155.23488,10.059111,1598,53033,291
2185521584448497664,143.04871,31.952708,1941,53386,545
528112509345884160,133.99585,0.96262876,469,51913,238
2828420609975805952,179.22042,17.765032,2512,53877,582
2747343995943282688,140.61056,16.455381,2440,53818,539
747722644064856064,26.826689,-8.4138243,664,52174,455
703766642600994816,245.58096,47.859008,625,52145,288
2659456732010407936,145.65285,19.428116,2362,53759,295
2259743293724190720,163.02325,36.677694,2007,53474,226
941324379994744832,170.02082,4.2231384,836,52376,262
1008823677325699072,132.81724,42.724691,896,52592,63
2366646621023791104,203.16297,36.605675,2102,54115,18
1996331912595007488,198.93838,15.432325,1773,53112,405
2730428839569156096,127.78915,14.58026,2425,54139,442
522575918460332032,60.454082,-5.6823991,464,51908,576
2274486644419618816,190.78276,34.995282,2020,53431,614
847927736763705344,5.8774867,15.795789,753,52233,455
3327201427025061888,236.68157,2.1383229,2955,54562,608
668804645061158912,237.37267,2.616976,594,52045,73
623900589427812352,141.30987,54.740862,554,52000,553
2850803380127819776,247.10722,8.5499149,2532,54589,90
2079710371081381888,232.16922,28.424958,1847,54176,630
631799760788940800,163.1365,61.422486,561,52295,618
1521208468697016320,223.52676,38.470783,1351,52790,428
2724743813808547840,122.59211,11.792391,2420,54086,240
916610933139204096,243.19577,45.21338,814,52443,467
1392874845422774272,153.60348,8.720594,1237,52762,497
1996303325292685312,197.82028,14.436937,1773,53112,301
931289960928012288,128.69568,37.282349,827,52312,621
370579708397512704,177.30804,-1.7483322,329,52056,577
1998587847908550656,203.10832,15.324007,1775,53847,420
465161070877632512,50.521045,0.20041,413,51929,598
1186783481296873472,237.70125,40.02914,1054,52516,309
1111306406214002688,320.37559,-0.09087216,987,52523,157
3121005063112255488,214.65289,19.511681,2772,54529,38
1119168192619505664,148.23812,5.1528626,994,52725,86
1822848493593585664,174.14981,6.520459,1619,53084,60
2107786662120548352,122.75251,57.236818,1872,53386,371
1607938499141462016,157.19587,39.300141,1428,52998,558
3146928799086569472,234.13981,16.258561,2795,54563,140
412239928441726976,263.45339,58.94753,366,52017,584
1004411333573109760,121.77038,36.064876,892,52378,395
2662915795255846912,154.79264,22.245938,2365,53739,591
1366863698324383744,142.41599,37.702435,1214,52731,77
2524322361520449536,195.9416,26.55394,2242,54153,199
1088757348769490944,175.90122,48.428624,967,52636,44
1433366289136510976,137.25925,34.990707,1273,52993,348
1124865860381468672,156.96076,7.5543508,999,52636,334
942460179968976896,171.78197,3.9736229,837,52642,298
1578674995054274560,236.29567,34.879709,1402,52872,594
2255315284984358912,186.49111,36.818819,2003,53442,501
1371401382443116544,152.61468,41.544189,1218,52709,201
1963675866537945088,149.71583,12.632038,1744,53055,387
301805798739175424,149.49356,-0.39835189,268,51633,235
1314056079105091584,234.0015,48.619336,1167,52738,476
1799354128275630080,157.16152,11.306438,1598,53033,604
2980301109291149312,188.81481,22.433717,2647,54495,160
1511000877672982528,252.10378,29.642039,1342,52793,157
2495076170849085440,169.78636,25.751434,2216,53795,298
2978041887471986688,184.08088,21.564188,2645,54477,133
2942146956060813312,190.35596,21.006467,2613,54481,620
895235601370998784,234.05038,52.698492,795,52378,528
2835118840952678400,236.22443,16.95281,2518,54243,374
460551642283010048,41.716304,-0.99195683,409,51871,213
1621333575867590656,170.08805,40.754798,1440,53084,137
3345138310434547712,255.65703,37.659159,2971,54590,326
1533508434761115648,163.92006,42.211447,1362,53050,119
2979187303743776768,186.22692,21.379555,2646,54479,204
1384995193832368128,184.71051,10.26505,1230,52672,503
2944298975227832320,193.16694,18.751609,2615,54483,257
2030086387260221440,205.20903,7.8508969,1803,54152,323
2259728175439308800,162.9885,37.908089,2007,53474,171
1131671838481475584,147.50309,48.524815,1005,52703,518
1431145825085450240,133.76024,32.655112,1271,52974,462
2844134292232103936,241.91377,10.598803,2526,54582,404
1107990827541489664,314.03533,0.49114332,984,52442,383
1974917553834715136,171.67925,15.765243,1754,53385,324
1852249985752524800,218.79805,36.077014,1645,53172,526
2371181000249075712,166.02895,31.686528,2106,53714,130
3112001987126781952,224.57829,15.182772,2764,54535,53
2022278750695090176,198.14434,9.9626345,1796,53884,591
2804686001853720576,166.81269,16.467308,2491,53855,252
2921859037786040320,181.45595,18.053231,2595,54207,541
683580987245881344,219.40171,61.919418,607,52368,581
1773425452786935808,244.85047,26.152027,1575,53493,484
1539278122581518336,177.01669,45.574521,1367,53083,629
1366886513190660096,142.0393,38.500167,1214,52731,160
510090964044376064,146.17954,58.164769,453,51915,212
675674673152813056,187.69314,65.10195,600,52317,490
2436585727190919168,233.25667,19.731089,2164,53886,503
3133498263898974208,207.69024,23.529227,2783,54524,432
2016499449110489088,193.72955,8.7816549,1791,54266,46
1804970984868964352,166.04013,12.365975,1603,53119,558
2729211410503460864,128.0537,10.938496,2424,54448,109
2341956799709603840,117.16887,15.749137,2080,53350,309
749855971081218048,31.146616,-9.5319491,666,52149,24
1806020742907717632,166.77396,10.962899,1604,53078,281
2396029139845933056,213.98189,25.020742,2128,53800,415
1377147431417833472,173.24787,10.395053,1223,52781,625
452743459149735936,27.427106,0.25048134,402,51793,479
963784103394568192,210.1332,4.0826777,856,52339,50
1009998780595988480,133.39271,43.817314,897,52605,242
