oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,oiii_hbeta_ratio,nii_halpha_ratio,class,subclass
6074.062,1743.394,3250.791,10285.94,1.868487,0.1694929,GALAXY,STARBURST
577.4553,2210.942,1254.602,4352.196,0.4602698,0.508006,GALAXY,STARBURST
114.4921,200.4113,68.5118,215.8928,1.67113,0.9282908,GALAXY,BROADLINE
111.1376,128.6146,58.32586,161.0728,1.90546,0.7984875,GALAXY,BROADLINE
278.6271,1349.898,203.4313,859.0906,1.369637,1.571311,GALAXY,AGN BROADLINE
78.39893,155.3322,45.66092,135.2715,1.716981,1.148299,GALAXY,BROADLINE
324.1389,1348.496,589.4449,2299.229,0.5499052,0.5864994,GALAXY,STARFORMING
638.9077,3709.226,1519.601,6541.773,0.4204443,0.5670062,GALAXY,STARFORMING
206.196,510.868,88.78378,349.4867,2.322451,1.461767,GALAXY,AGN
162.7971,985.9525,519.0616,2160.269,0.3136373,0.4564027,GALAXY,STARFORMING
44.30309,64.70358,19.25129,45.91686,2.301305,1.409146,GALAXY,BROADLINE
68.7897,54.77916,28.71009,70.48476,2.396012,0.7771774,GALAXY,BROADLINE
42.79592,34.58287,19.54442,49.43196,2.189675,0.6996054,GALAXY,BROADLINE
50.91447,51.62276,34.54463,85.2169,1.473875,0.6057808,GALAXY,
246.3916,458.694,84.22272,385.5475,2.925477,1.189721,GALAXY,BROADLINE
136.7431,172.2631,58.73833,158.8675,2.328004,1.084319,GALAXY,
319.9759,1715.968,1358.307,4808.221,0.2355695,0.3568821,GALAXY,STARFORMING
1700.553,4230.667,3136.074,11471.43,0.5422555,0.3688003,GALAXY,STARBURST
124.5564,1491.908,809.8279,3593.997,0.153806,0.4151112,GALAXY,STARFORMING
100.043,291.1169,103.394,337.1686,0.9675905,0.8634165,GALAXY,AGN
1747.754,1430.799,1590.645,6157.592,1.098771,0.2323634,GALAXY,STARBURST
116.4139,181.4158,62.83074,176.267,1.852817,1.02921,GALAXY,BROADLINE
106.3675,95.3795,36.77844,117.4972,2.892115,0.8117599,GALAXY,BROADLINE
150.1393,140.4799,78.27047,152.5684,1.918212,0.9207664,GALAXY,BROADLINE
2082.449,320.8546,781.5953,2816.121,2.664357,0.113935,GALAXY,STARBURST
27.33624,23.36345,16.97291,31.54079,1.610581,0.7407376,GALAXY,BROADLINE
85.03702,150.8927,54.687,149.1404,1.554977,1.011749,GALAXY,BROADLINE
25.18576,42.805,11.15251,39.5629,2.258305,1.081948,GALAXY,BROADLINE
54.77234,90.33938,20.45427,73.46342,2.677795,1.229719,GALAXY,BROADLINE
27.50988,241.2939,163.4442,783.5665,0.1683136,0.3079431,GALAXY,STARFORMING
200.9308,2528.586,1102.606,5350.819,0.1822327,0.4725605,GALAXY,STARFORMING
224.9048,243.7554,100.7597,244.9906,2.23209,0.9949582,GALAXY,BROADLINE
595.333,4085.684,2186.901,9309.233,0.2722268,0.4388852,GALAXY,STARBURST
365.2667,865.1218,133.6285,517.0765,2.733449,1.673102,GALAXY,BROADLINE
225.0186,1497.636,894.1333,3285.096,0.2516612,0.4558881,GALAXY,STARFORMING
168.3746,262.1568,109.4587,395.4808,1.538248,0.6628814,GALAXY,BROADLINE
79.03995,482.6453,246.7487,1114.876,0.3203257,0.432914,GALAXY,STARFORMING
71.53205,213.8211,34.75086,153.5443,2.058425,1.39257,GALAXY,BROADLINE
184.5202,1716.851,1115.458,4548.184,0.165421,0.3774807,GALAXY,STARFORMING
18.58572,80.13768,31.51543,95.02374,0.5897338,0.8433437,GALAXY,BROADLINE
334.6782,1096.429,416.9622,1233.817,0.8026584,0.8886478,GALAXY,STARFORMING BROADLINE
97.33463,423.598,91.89371,415.9179,1.059209,1.018466,GALAXY,AGN
56.18512,154.0647,70.29011,277.9914,0.7993318,0.5542068,GALAXY,STARFORMING
139.8146,577.8047,82.7543,448.6612,1.689514,1.287842,GALAXY,
204.2914,895.5151,647.4868,2550.603,0.3155144,0.3510993,GALAXY,STARFORMING
171.6011,2005.167,754.1227,3209.964,0.2275506,0.6246697,GALAXY,STARFORMING
60.98762,92.53404,30.72988,66.3187,1.984635,1.395293,GALAXY,
260.0429,316.27,175.2333,608.4916,1.483981,0.5197606,GALAXY,STARFORMING
151.9955,1394.847,649.8162,3188.932,0.2339054,0.4374024,GALAXY,STARFORMING
475.681,377.6988,265.1546,925.1013,1.793976,0.4082783,GALAXY,STARFORMING
767.9733,644.0153,583.1999,1815.267,1.316827,0.3547771,GALAXY,STARFORMING
87.41045,965.9288,450.6973,2550.594,0.1939449,0.3787074,GALAXY,STARFORMING
707.3505,571.7795,647.9645,2398.796,1.09165,0.238361,GALAXY,STARFORMING
57.34115,180.5769,49.74249,170.1282,1.15276,1.061416,GALAXY,BROADLINE
1485.509,2058.439,386.1893,1945.398,3.846583,1.058107,GALAXY,AGN
