#Table1
w1mpro,w2mpro,w3mpro,w1_w2_color,w2_w3_color,oiii_hbeta_ratio,nii_halpha_ratio,class,subclass
12.246,12.243,9.899,0.003000259,2.344,1.530543,1.326099,GALAXY,BROADLINE
11.42,11.467,9.908,-0.04699993,1.559,0.5897338,0.8433437,GALAXY,BROADLINE
11.381,11.416,9.912,-0.0350008,1.504001,0.7252526,0.7898716,GALAXY,AGN BROADLINE
11.811,11.854,10.854,-0.04300022,1,3.444162,1.418123,GALAXY,BROADLINE
12.239,12.253,11.888,-0.01399994,0.3650007,0.7699779,1.628915,GALAXY,
11.996,11.941,9.768,0.05500031,2.173,3.076559,2.165079,GALAXY,BROADLINE
12.317,12.137,9.771,0.1800003,2.366,10.11074,1.59805,GALAXY,
11.288,11.378,9.772,-0.09000015,1.606,3.77519,0.8307641,GALAXY,AGN
12.726,12.696,9.773,0.02999973,2.923,1.290822,0.358576,GALAXY,STARFORMING
12.885,12.839,9.773,0.04600048,3.066,1.377488,0.2020805,GALAXY,STARFORMING
11.907,11.961,9.779,-0.05400085,2.182,1.793976,0.4082783,GALAXY,STARFORMING
11.614,11.619,9.784,-0.005000114,1.835,2.57243,2.095444,GALAXY,BROADLINE
11.743,11.826,9.786,-0.08300018,2.04,1.449175,1.069358,GALAXY,BROADLINE
10.946,11.044,9.788,-0.09799957,1.256,1.547451,1.603003,GALAXY,BROADLINE
11.366,11.418,10.594,-0.05200005,0.8240004,1.619511,1.151981,GALAXY,BROADLINE
11.378,11.428,10.596,-0.05000019,0.8320007,2.54177,1.465377,GALAXY,BROADLINE
11.461,11.565,10.597,-0.1039991,0.9679995,2.892115,0.8117599,GALAXY,BROADLINE
11.609,11.722,11.093,-0.1129999,0.6289997,1.473875,0.6057808,GALAXY,
12.423,12.378,11.095,0.04500008,1.283,1.71858,1.440435,GALAXY,
12.153,12.268,12.066,-0.1149998,0.2019997,2.396012,0.7771774,GALAXY,BROADLINE
7.766,6.395,2.598,1.371,3.797,1.141998,0.4111922,GALAXY,STARBURST
9.172,8.547,4.113,0.625,4.434,0.840694,0.4391796,GALAXY,STARBURST
8.852,8.455,4.456,0.3970003,3.999,2.959556,0.7934263,GALAXY,AGN
9.535,9.146,4.562,0.3889999,4.584,0.3561385,0.3674945,GALAXY,STARBURST
9.477,9.214,4.907,0.2630005,4.307,0.3485022,0.6303081,GALAXY,STARFORMING
10.997,11.078,9.942,-0.08100033,1.136,1.394763,1.380801,GALAXY,BROADLINE
10.876,10.978,9.945,-0.1019993,1.033,1.453103,1.176538,GALAXY,BROADLINE
10.447,10.549,9.949,-0.1020002,0.5999994,1.395777,0.8071625,GALAXY,BROADLINE
11.844,11.898,9.952,-0.0539999,1.946,1.397299,1.060579,GALAXY,BROADLINE
13.301,13.258,9.956,0.04299927,3.302,2.04571,0.164868,GALAXY,STARBURST
9.172,8.547,4.113,0.625,4.434,0.8229818,0.1004808,GALAXY,STARBURST
10.573,10.263,5.756,0.3100004,4.506999,0.2327246,0.5719764,GALAXY,STARBURST
10.706,10.417,5.757,0.2890005,4.66,1.667964,0.0003448094,GALAXY,
10.615,10.305,5.797,0.3099995,4.508,0.5971798,0.463307,GALAXY,STARBURST
11.057,10.642,5.816,0.415,4.826,2.654707,0.1237779,GALAXY,STARBURST
9.669,9.488,5.818,0.1809998,3.67,0.9795517,0.7959574,GALAXY,STARFORMING
10.398,9.749,5.86,0.6490002,3.888999,2.460726,0.1517241,GALAXY,STARBURST
9.681,9.507,5.862,0.1739998,3.645,0.4209369,0.6693713,GALAXY,
11.069,10.681,5.862,0.3880005,4.819,0.7394858,0.2184266,GALAXY,STARBURST
10.322,9.987,5.87,0.3349991,4.117001,0.9467694,0.5806131,GALAXY,STARBURST
9.662,9.521,5.897,0.1409998,3.624,0.9215069,0.7051805,GALAXY,AGN BROADLINE
10.176,10.033,5.959,0.1429996,4.074,0.5525541,0.4883965,GALAXY,STARFORMING
10.432,10.148,6.012,0.2840004,4.136,0.293228,0.5383529,GALAXY,STARBURST
10.297,9.97,6.041,0.3269997,3.929,1.24823,0.8627229,GALAXY,STARBURST
10.661,10.402,6.045,0.2589998,4.357,0.2943648,0.5384391,GALAXY,STARBURST
10.321,10.056,6.064,0.2650003,3.992,11.96712,0.9407331,GALAXY,AGN
10.909,10.496,6.069,0.4130001,4.427001,0.2374228,0.4907552,GALAXY,STARFORMING
11.263,10.85,6.091,0.4129992,4.759,0.470765,0.8285251,GALAXY,STARFORMING
10.421,10.035,6.114,0.3859997,3.921,2.980206,0.8841445,GALAXY,AGN
9.893,9.733,6.13,0.1599998,3.603,0.8440502,0.5174176,GALAXY,STARFORMING
10.634,10.361,6.133,0.2729998,4.228,0.2267017,0.3349952,GALAXY,STARBURST
10.442,10.286,6.147,0.1560001,4.139,0.5196828,0.6564108,GALAXY,STARFORMING
9.967,9.881,6.179,0.08600044,3.702,0.8971458,0.5968041,GALAXY,BROADLINE
10.417,9.718,6.184,0.6989994,3.534,8.006548,0.9970312,GALAXY,AGN
10.825,10.634,6.186,0.191,4.448,0.7063982,0.4913427,GALAXY,STARBURST
9.74,9.589,6.186,0.151,3.403,0.1141635,0.3612826,GALAXY,STARFORMING
10.134,9.957,6.199,0.177,3.758,0.4922076,0.6418747,GALAXY,STARFORMING BROADLINE
10.249,10.128,6.214,0.1209993,3.914,0.393683,0.5456765,GALAXY,STARFORMING
10.918,10.687,6.231,0.2309999,4.456,0.1971687,0.6201966,GALAXY,STARBURST
10.575,10.425,6.231,0.1499996,4.194,0.301868,0.4274661,GALAXY,STARFORMING
12.239,12.263,9.979,-0.02399921,2.283999,1.320896,0.8876114,GALAXY,
14.439,14.173,10.54,0.2659998,3.633,0.2075562,0.4083667,GALAXY,STARFORMING
12.473,12.399,8.859,0.0739994,3.54,0.6686536,0.3311351,GALAXY,STARBURST
