#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
793,52370,127,0.2023347,33.50986,5.542194,17.50412,0.007054857,17.47645,17.95507,0.007045961,17.91784
1050,52721,584,0.1763156,145.867,6.800054,17.00627,0.00575064,16.96752,17.47595,0.005806044,17.4238
1165,52703,629,0.1378198,165.0982,7.49131,16.02904,0.004118632,15.99424,16.48591,0.004008012,16.43909
590,52057,176,0.1728526,657.3569,9.221554,16.80113,0.005122331,16.72594,17.26834,0.005326717,17.16715
1843,53816,565,0.2178915,369.7131,5.50872,17.21999,0.006343167,17.19359,17.63639,0.006167134,17.60086
2953,54560,240,0.1133047,528.8362,12.33782,15.58565,0.003349138,15.49428,15.98212,0.003359003,15.85917
611,52055,201,0.2826588,233.7183,5.026857,18.2261,0.009580632,18.20274,18.28145,0.00801926,18.25002
1831,54557,501,0.2876647,2066.256,16.2699,16.7583,0.005040003,16.70617,16.66383,0.004550862,16.59368
588,52045,354,0.2864626,181.4231,4.661622,18.4292,0.009866647,18.36211,18.56285,0.00871018,18.47256
2145,54212,467,0.2789952,202.7542,6.755351,17.39904,0.005928188,17.33994,17.47247,0.005260452,17.39295
1051,52468,265,0.2382287,709.6618,7.270897,17.90054,0.007499163,17.869,18.1672,0.007022519,18.12475
1050,52721,500,0.1986541,724.2312,9.054444,17.27863,0.006125944,17.23325,17.57803,0.006046517,17.51697
592,52025,376,0.126024,926.9399,11.06087,16.04254,0.003917326,15.96723,16.81671,0.004317144,16.71536
2780,54557,275,0.2431923,215.1753,6.568932,17.77862,0.007428108,17.73651,18.0465,0.007144663,17.98984
1846,54173,28,0.2843701,118.1586,5.902311,17.73229,0.007155472,17.67022,17.81657,0.006482623,17.73304
2156,54525,193,0.2705555,119.7763,3.992011,17.50563,0.006639391,17.43977,17.70378,0.006010418,17.61515
1814,54555,125,0.1622115,1256.502,13.97002,16.75478,0.005087053,16.70963,17.15154,0.005073961,17.09079
613,52345,99,0.07809116,5256.383,34.16758,14.93353,0.003429443,14.91607,15.46172,0.003605333,15.43822
1677,53148,88,0.2507105,138.4066,3.769979,17.33464,0.006909509,17.3058,17.70496,0.006882811,17.66616
1290,52734,136,0.1898469,484.8739,9.266313,17.54635,0.006285011,17.51839,17.88005,0.00611835,17.84241
2158,54209,114,0.136087,4356.603,27.35454,15.63425,0.004028074,15.56102,16.1504,0.00400443,16.05186
1649,53149,208,0.2517488,520.8255,7.001915,18.04836,0.008356473,18.01113,18.20441,0.007437886,18.1543
2751,54243,575,0.1180205,1935.271,17.61674,15.51158,0.003386565,15.46543,15.99773,0.003344456,15.93563
539,52017,586,0.1346648,2292.539,19.33715,15.69607,0.004349905,15.60949,16.1565,0.004175796,16.03999
922,52426,40,0.2682625,144.7218,4.796475,17.66679,0.007049458,17.51219,17.92948,0.006926477,17.72143
1165,52703,486,0.2112526,410.2334,10.32855,17.35176,0.006217354,17.3076,17.64373,0.005873972,17.5843
1398,53146,482,0.2308415,598.3192,8.191277,17.15807,0.006219443,17.1398,17.36028,0.005723886,17.33568
611,52055,341,0.2803703,358.8935,5.369879,18.10015,0.009528297,18.08176,18.11599,0.007714625,18.09123
608,52081,569,0.2965274,491.3932,9.129649,17.61765,0.007042181,17.60255,17.66278,0.005828504,17.64246
539,52017,552,0.1827677,118.7833,4.021636,16.76116,0.005257134,16.67402,17.23187,0.005209104,17.1146
1815,53884,156,0.2695875,295.1519,5.2198,17.85887,0.008075662,17.80223,18.04092,0.007462268,17.9647
2142,54208,499,0.2240888,131.6528,4.821912,17.77527,0.007314225,17.72915,18.20772,0.007084516,18.14565
312,51689,330,0.2171962,479.4295,8.923738,17.54849,0.006637029,17.46594,17.86044,0.00659116,17.74936
2145,54212,76,0.2296589,106.3263,4.975756,17.71664,0.00758305,17.652,18.0871,0.007290111,18.00012
1676,53147,255,0.2355146,272.791,7.138761,17.55631,0.006427385,17.52011,17.87291,0.006319797,17.82419
1164,52674,422,0.2618298,110.1135,5.284736,18.03001,0.008314277,18.00596,18.25972,0.007974089,18.22736
312,51689,639,0.2399111,307.7378,8.212964,17.36864,0.006106304,17.25892,17.69872,0.006042189,17.55107
1384,53121,291,0.2095468,431.3989,10.07201,16.57208,0.004785125,16.54085,16.98311,0.004684119,16.94109
608,52081,1,0.2102813,59.42062,4.542552,16.38711,0.005003703,16.36788,16.85144,0.004957397,16.82556
1675,53466,62,0.2880693,110.4995,4.730334,17.88804,0.008245574,17.85579,18.13571,0.007516827,18.0923
2144,53770,263,0.2997678,81.89317,3.597586,18.27131,0.009122734,18.21286,18.44919,0.00813388,18.37054
2792,54556,89,0.1705441,1935.623,18.46422,16.183,0.004000442,16.13699,16.46449,0.003887838,16.40256
1383,53116,321,0.2460904,358.9481,6.204961,17.87558,0.007686165,17.85675,18.03686,0.006956417,18.01151
2791,54556,520,0.222684,973.6503,9.988741,17.25779,0.005500236,17.18576,17.55736,0.005428364,17.46044
1165,52703,240,0.2706152,51.12079,5.012973,17.66366,0.007684201,17.63494,17.9355,0.006964139,17.89685
1350,52786,204,0.2472644,160.9789,5.789007,17.88748,0.007468574,17.87191,18.10099,0.006987683,18.08004
612,52079,519,0.2042243,151.8444,6.014632,16.78832,0.005071126,16.76273,17.20418,0.00504177,17.16974
1818,54539,268,0.2681072,592.9573,11.33217,17.63214,0.007162933,17.55042,17.6523,0.006188217,17.54234
2160,53885,444,0.2361374,324.7374,6.371229,17.73663,0.007022431,17.68167,18.05964,0.006767768,17.98567
1330,52822,568,0.2367526,152.3552,6.407243,17.14457,0.006164833,17.11724,17.56123,0.005908938,17.52445
308,51662,43,0.2524521,174.6231,6.168119,17.31695,0.005628732,17.24016,17.49722,0.005407568,17.39388
1834,54562,341,0.1740427,102.6267,4.351134,16.2372,0.004640721,16.14974,16.78967,0.004988852,16.67198
1164,52674,239,0.2096944,210.3706,6.804807,17.59809,0.007161896,17.5722,18.01826,0.007117677,17.98342
2750,54242,86,0.2584745,298.6597,5.478096,18.39462,0.009936171,18.34772,18.51209,0.008517469,18.44897
2778,54539,572,0.2681316,163.4199,4.309058,18.20577,0.009308129,18.14723,18.35709,0.008231672,18.27831
1048,52736,589,0.2081537,852.7242,11.2888,17.25254,0.005836495,17.22123,17.58224,0.005603997,17.5401
1844,54138,446,0.1936767,206.9606,5.788479,17.43489,0.006662539,17.39984,17.92421,0.006556196,17.87704
1816,53919,420,0.1642324,1217.472,10.53936,17.1857,0.005540646,17.12809,17.50706,0.005559654,17.42953
1164,52674,480,0.2814417,241.9292,5.357691,18.25632,0.00907054,18.23106,18.33647,0.008075347,18.30248
1397,53119,190,0.2679094,2752.637,24.59304,16.00404,0.005814788,15.98078,15.80681,0.005108821,15.77551
1351,52790,103,0.2047822,125.6766,8.177523,16.93715,0.00523601,16.91023,17.39299,0.005430662,17.35676
540,51996,68,0.2648796,236.078,7.617105,17.58325,0.006514569,17.50364,17.59164,0.005850917,17.48451
1718,53850,490,0.2848544,245.4682,5.283834,18.06642,0.008046119,17.98163,18.06179,0.006969492,17.94769
2157,54242,195,0.2046669,2053.386,19.49199,16.54681,0.00491169,16.44615,16.85757,0.004681556,16.72212
1351,52790,424,0.2617957,627.5483,8.057668,17.87791,0.007302845,17.85796,17.8718,0.00623374,17.84496
1718,53850,79,0.2820169,452.3181,7.254642,17.1082,0.005568606,17.04255,17.18426,0.005207472,17.09592
1846,54173,125,0.2282974,588.8925,7.216185,17.75718,0.007393486,17.70035,18.08552,0.007152571,18.00905
1651,53442,373,0.2409074,479.9867,6.384694,17.62698,0.007043878,17.58957,17.92096,0.006271932,17.87061
2146,54230,204,0.2483222,1012.94,10.42747,16.96653,0.0055355,16.92283,17.08775,0.005028327,17.02894
1817,53851,35,0.2825226,497.5895,6.028819,17.67727,0.007370124,17.61459,17.6995,0.006532325,17.61515
608,52081,65,0.2973105,283.6123,5.55627,17.61053,0.007533263,17.59642,17.6977,0.006661959,17.67872
1677,53148,15,0.1503511,311.1623,7.978214,16.09304,0.003981058,16.05672,16.48503,0.003977905,16.43615
1845,54144,39,0.2079677,341.3671,6.571103,17.40425,0.006183982,17.35862,17.81522,0.006294744,17.75381
1675,53466,428,0.2581467,525.9301,6.451305,18.13796,0.008202894,18.11065,18.24039,0.007480268,18.20365
311,51665,26,0.2278282,236.1087,6.51252,17.57119,0.006851831,17.48699,17.97204,0.006695434,17.85872
2143,54184,446,0.2588363,428.948,6.434995,17.80022,0.007880874,17.74502,17.86833,0.006255175,17.79404
1354,52814,466,0.2494513,252.4941,5.50493,17.78104,0.007673721,17.74624,18.07172,0.007018186,18.02488
2142,54208,637,0.06449452,6220.282,47.64117,14.74318,0.002892705,14.69353,15.09343,0.00277761,15.02661
589,52055,41,0.1729297,320.9311,7.695277,17.33887,0.005921752,17.26245,17.83739,0.006419284,17.73455
1166,52751,202,0.139522,170.3694,8.072464,16.35391,0.004341044,16.3222,16.98766,0.004742762,16.945
2160,53885,243,0.165382,1675.655,15.78923,16.3481,0.004444828,16.27345,16.69649,0.00424589,16.59604
1290,52734,264,0.2627973,384.6723,6.806991,17.6799,0.007465938,17.65148,17.80923,0.006518923,17.77098
1846,54173,426,0.2689301,1164.139,12.11357,16.80883,0.004860859,16.76414,16.80028,0.004461183,16.74015
1650,53174,545,0.2739726,2162.26,17.30399,16.6418,0.005389561,16.61069,16.52857,0.004644385,16.48671
1397,53119,399,0.2688065,149.0531,4.698444,17.70542,0.007252971,17.68039,17.95485,0.006706171,17.92116
308,51662,523,0.2963802,117.7394,4.799212,18.34796,0.01005422,18.26263,18.531,0.00865218,18.41618
1714,53521,408,0.2603083,177.4319,3.520527,18.2189,0.008864938,18.18045,18.3411,0.007745496,18.28935
2142,54208,621,0.2375643,71.18325,4.108935,17.62671,0.008093799,17.57998,18.04257,0.007496249,17.97968
1814,54555,573,0.129768,1777.444,17.25888,15.7869,0.00420712,15.74054,16.23209,0.004273653,16.16971
