#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
312,51689,639,0.2399111,307.7378,8.212964,17.36864,0.006106304,17.25892,17.69872,0.006042189,17.55107
312,51689,330,0.2171962,479.4295,8.923738,17.54849,0.006637029,17.46594,17.86044,0.00659116,17.74936
2246,53767,66,0.0863796,2033.969,18.78632,15.34829,0.003031136,15.32908,15.78949,0.003081183,15.76364
2614,54481,350,0.2393598,370.0913,6.064452,17.24088,0.006534297,17.19873,17.58044,0.006224379,17.52372
2614,54481,279,0.1602625,778.7159,13.93076,16.2829,0.004258276,16.24698,16.62469,0.004492436,16.57634
592,52025,376,0.126024,926.9399,11.06087,16.04254,0.003917326,15.96723,16.81671,0.004317144,16.71536
2121,54180,631,0.2565132,164.8087,5.731501,17.29319,0.00693406,17.26627,17.51264,0.005907374,17.47642
2122,54178,436,0.1963692,356.9352,6.805614,17.06529,0.005561736,17.04531,17.46406,0.005483248,17.43717
2122,54178,200,0.2972041,268.0277,5.733673,17.70926,0.007240898,17.68754,17.90666,0.006516624,17.87743
2125,53795,432,0.1877306,267.1736,6.514564,17.1411,0.005575452,17.11856,17.55638,0.005694282,17.52605
2126,53794,85,0.2475406,246.484,6.763372,17.04934,0.00548317,17.02131,17.36534,0.005281547,17.32762
2123,53793,443,0.07700984,1357.127,26.74936,14.38809,0.002628922,14.35697,14.8235,0.00243825,14.78162
2124,53770,91,0.1303311,1565.531,15.60969,16.01315,0.003815551,15.98423,16.37957,0.003823358,16.34065
524,52027,165,0.2284263,764.2011,8.929759,16.97175,0.005531842,16.93063,17.19371,0.005080771,17.13838
524,52027,531,0.1853426,384.5011,6.066719,17.18211,0.006524835,17.14378,17.75009,0.00673647,17.69852
525,52295,329,0.2657584,46.96118,4.258937,18.25404,0.01144211,18.20408,18.48235,0.009662395,18.41512
527,52342,229,0.1967719,598.4462,7.336424,17.65854,0.007129562,17.61336,18.16134,0.00760385,18.10053
526,52312,431,0.2619666,287.547,4.007649,18.22413,0.009429735,18.18066,18.30622,0.008012028,18.24772
526,52312,457,0.2969392,478.4542,7.823318,17.52402,0.006796224,17.48162,17.4996,0.005575778,17.44254
526,52312,410,0.2089116,60.35434,3.480873,16.94707,0.006760175,16.90208,17.37384,0.006464083,17.31329
526,52312,537,0.2688896,1217.897,15.05764,16.41035,0.004427609,16.36993,16.38262,0.003983918,16.32822
527,52342,33,0.2158184,90.17809,4.99546,17.09902,0.006386467,17.05706,17.63314,0.006601539,17.57667
2014,53460,440,0.2473611,574.8809,6.179327,18.11331,0.008202481,18.08719,18.2395,0.007062538,18.20434
2780,54557,275,0.2431923,215.1753,6.568932,17.77862,0.007428108,17.73651,18.0465,0.007144663,17.98984
528,52022,522,0.1922287,82.83208,2.888342,16.80661,0.005673035,16.76447,17.32506,0.005900406,17.26835
529,52025,195,0.2727271,110.332,3.628627,17.82903,0.008996368,17.78357,18.0943,0.008348246,18.03312
2783,54524,397,0.2706638,82.67503,4.268567,17.40344,0.006003802,17.3834,17.60221,0.005840976,17.57524
2784,54529,10,0.09831072,4170.931,28.53003,15.66093,0.004662277,15.6232,16.02079,0.004403328,15.97003
2784,54529,535,0.1600988,354.0004,7.189481,16.46639,0.004976023,16.4317,16.88639,0.004935879,16.83969
2784,54529,481,0.214991,203.1797,6.054186,17.08587,0.006279069,17.04016,17.39828,0.005711531,17.33676
1845,54144,39,0.2079677,341.3671,6.571103,17.40425,0.006183982,17.35862,17.81522,0.006294744,17.75381
1846,54173,426,0.2689301,1164.139,12.11357,16.80883,0.004860859,16.76414,16.80028,0.004461183,16.74015
1846,54173,125,0.2282974,588.8925,7.216185,17.75718,0.007393486,17.70035,18.08552,0.007152571,18.00905
1846,54173,28,0.2843701,118.1586,5.902311,17.73229,0.007155472,17.67022,17.81657,0.006482623,17.73304
957,52398,520,0.2399261,118.7445,4.30922,17.76576,0.007430124,17.74659,18.21867,0.007860638,18.19288
910,52377,167,0.1839719,65.9139,4.524646,16.21024,0.004470974,16.14761,16.72941,0.004795258,16.64513
910,52377,259,0.1854109,159.8737,6.258893,17.26931,0.006092663,17.20305,17.73293,0.006311673,17.64376
912,52427,339,0.2922319,31.13124,2.757916,17.63722,0.008957278,17.57809,17.90043,0.007885204,17.82087
913,52433,407,0.1779683,102.1598,4.342295,16.57201,0.005213429,16.51307,17.02764,0.02004251,16.94832
913,52433,132,0.2230707,313.4665,5.311876,17.70533,0.007237936,17.63371,17.97843,0.006943162,17.88205
1349,52797,185,0.1619562,168.8464,8.218635,16.30151,0.004218083,16.2847,16.78437,0.004367494,16.76175
