#Table1
sii_6717_flux,sii_6731_flux,nii_6584_flux,oi_6300_flux,oiii_5007_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw,nii_6584_eqw,oiii_sigma,w1mpro,w2mpro,w3mpro,z,class,subclass,bestobjid
35.33497,21.65778,51.59155,8.490424,21.44437,99.40005,25.64047,-5.130115,-2.528958,182.796,13.538,13.469,11.074,0.06465632,GALAXY,STARFORMING,1237650795146445031
30.26996,25.72297,25.78963,6.269853,35.46671,127.3058,38.33226,-21.18769,-3.849116,5.724757,15.291,15.156,12.344,0.05265425,GALAXY,STARFORMING,1237648720142401670
36.77939,37.11067,58.8709,12.49198,20.20715,77.04804,22.93367,-4.769841,-3.612301,326.5814,13.812,13.572,11.127,0.1346802,GALAXY,STARFORMING,1237650795683512507
80.1356,70.84364,367.8763,19.59912,55.35548,510.6647,91.71097,-15.40855,-10.87734,88.7121,12.901,12.695,8.763,0.04808582,GALAXY,STARFORMING,1237650796220514489
48.68991,36.9456,147.909,7.274137,18.08399,351.3045,66.98206,-22.02253,-9.346472,101.3501,13.149,12.906,9.26,0.06518305,GALAXY,STARFORMING,1237648720142336237
194.4022,153.6808,563.4586,32.05777,95.84792,1151.211,257.9409,-38.92533,-18.94033,127.924,13.091,12.818,9.317,0.06490172,GALAXY,STARFORMING,1237648720142336185
140.5348,110.5897,384.8589,30.05624,203.211,919.3564,194.093,-59.87991,-25.23525,133.1402,14.109,13.638,9.283,0.1146793,GALAXY,,1237650795146379447
31.04092,17.30779,56.05157,6.340064,10.5722,144.6518,30.73027,-8.484818,-3.203966,71.44949,13.58,13.449,10.118,0.0606144,GALAXY,STARFORMING,1237651799621959813
42.04194,28.5483,64.89413,13.7688,46.40644,131.2589,34.24051,-4.757507,-2.194183,113.0184,13.732,13.769,10.907,0.05654794,GALAXY,STARFORMING,1237650795683446947
57.43588,40.39654,149.0907,9.482595,16.89602,435.4091,104.5165,-27.60312,-9.634499,95.07722,13.923,13.717,9.705,0.06510994,GALAXY,STARFORMING,1237648720679338241
39.61915,31.62446,158.4377,9.656131,49.30866,234.3734,44.53191,-21.20747,-14.08598,124.9784,14.314,13.973,10.379,0.1253916,GALAXY,STARFORMING,1237648721216209095
34.46608,21.96995,16.38062,9.332932,111.6831,168.5709,53.58604,-40.99857,-4.238671,47.29158,,,,0.02196459,GALAXY,STARBURST,1237650795683446889
37.21172,24.43758,107.4403,6.817031,19.36009,204.2957,39.90464,-21.22016,-10.94916,149.1395,14.165,13.656,10.366,0.127676,GALAXY,STARFORMING,1237648720142139633
125.9418,82.95983,187.5996,22.94478,51.88348,625.9243,117.5592,-59.226,-17.77728,74.16819,,,,0.06741422,GALAXY,STARBURST,1237651799621828776
491.8314,386.6843,219.5181,140.5447,31517.64,18835.12,5755.302,-1776.436,-18.91684,29.81158,14.264,12.962,8.22,0.0047763,GALAXY,STARBURST,1237650795146182725
20.41914,26.54523,129.9966,5.741499,68.8668,174.6208,39.86888,-23.71665,-17.35774,95.62992,14.599,14.323,10.857,0.1315038,GALAXY,STARFORMING,1237648720679272605
72.70258,51.44818,43.89219,12.09055,135.8967,288.7176,97.55373,-24.85231,-3.922247,33.67781,14.063,14.012,11.936,0.006036635,GALAXY,STARFORMING,1237648720679272630
62.81574,50.12525,116.9966,16.28823,33.11293,143.5105,28.48076,-8.185278,-6.629052,125.844,13.886,13.708,11.134,0.0893447,GALAXY,AGN,1237648720679272634
101.1896,75.75684,256.0729,24.92998,34.62197,555.7532,111.3009,-23.83372,-10.84948,151.6178,13.48,13.201,9.694,0.1231987,GALAXY,STARFORMING,1237650795683250403
256.0965,182.8083,359.1024,33.85272,210.5195,1311.788,333.1961,-46.32598,-12.52231,64.55535,13.255,13.12,9.131,0.03580831,GALAXY,STARBURST,1237650795683381502
24.62576,16.54677,46.92726,6.191783,9.526958,120.0885,32.91386,-16.85751,-6.084237,30.33166,14.982,14.75,11.015,0.09212417,GALAXY,STARFORMING,1237650796220186902
71.99741,50.20187,129.4616,13.74299,37.32424,350.3976,83.53896,-19.99756,-7.342541,79.13648,13.534,13.313,9.356,0.06248942,GALAXY,STARFORMING,1237650794609246465
