#freq res
9.1598 7.0711
9.7126 7.0711
10.1898 9.9583
12.0939 2.0206
12.2609 -0.7063
12.4750 -0.6304
12.6433 2.0488
13.1195 1.7433
13.1434 1.4635
13.3997 -1.8698
13.5996 -2.7331
13.7348 -1.3999
13.8253 -0.3779
13.8400 -0.0454
13.9421 1.3888
13.9620 1.4582
14.1555 1.5723
14.2742 0.5607
14.3941 0.9269
14.5070 -0.8266
14.5253 -0.0172
14.5384 0.3589
14.5523 0.7786
14.6042 -0.1720
14.6132 -0.3417
14.6157 -0.0947
14.6919 0.6528
14.6974 0.8849
14.6994 -0.1444
14.7560 -1.0306
14.7979 -1.5309
14.8036 -1.3849
14.8169 -1.1726
14.8514 -1.6747
14.9081 0.4062
14.9391 0.7242
14.9492 0.7900
14.9498 0.6818
15.0661 0.7255
15.1284 1.5391
15.1372 1.7571
15.1730 2.0284
15.3101 4.3967
17.2782 9.9978
17.5764 9.9986
17.9053 9.9968
18.2344 9.9913
