# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.7518 4.2923 12.4712 0.7650 28.5105 0.0007 18.2421 0.0009 8.0731 6.5303 7.0616 4.5167 10.8670 7.9588 44.2745 44.8400 44.8430 43.1886 0.9782 44.6891 45.0819 0.6187 41.9093 43.6351 0.9815 44.2732 42.9977 7.3002 -344.6886 -381.8588
1.8129 3.5126 13.0534 0.7664 31.0342 0.0100 13.6885 0.0046 8.1151 6.3755 7.0352 4.5271 10.9940 0.6442 44.1794 44.8436 44.8514 43.1719 0.9791 44.6924 45.0855 0.6652 41.9793 43.6419 0.9787 44.2724 43.0046 5.8648 -345.9093 -388.3780
1.5629 5.8608 10.1249 0.7598 29.0415 0.0054 16.4691 0.0044 8.0123 6.4794 7.0558 4.5186 11.0378 0.7126 44.2703 44.8416 44.8446 43.2430 0.9754 44.6807 45.0795 0.6250 41.9670 43.6367 0.9791 44.2721 43.0129 7.2307 -353.4098 -388.9027
1.8997 3.5105 10.4151 0.7794 28.2362 0.0043 17.9322 0.0012 8.1045 6.5156 7.0422 4.5189 10.9469 2.0825 44.2832 44.8194 44.8339 43.3937 0.9638 44.6524 45.0552 0.5939 42.3435 43.6221 0.9500 44.2365 43.2130 7.4475 -346.0382 -382.0717
1.7533 12.4665 11.5109 0.7555 29.7885 0.0036 20.8657 0.0010 7.9503 6.4422 7.0114 4.5264 11.0659 0.7601 44.1902 44.8195 44.8508 43.1589 0.9786 44.6771 45.0655 0.6756 41.6297 43.6335 0.9902 44.2808 43.1166 6.0123 -345.0937 -382.3986
1.8484 4.0107 10.6706 0.7614 29.4020 0.0039 42.8657 0.0051 8.0882 6.4507 7.1365 4.5421 10.8402 7.0218 44.1726 44.8509 44.8626 43.1546 0.9803 44.6935 45.0904 0.6826 41.7999 43.6518 0.9861 44.2849 42.8677 5.7728 -343.9251 -381.8323
1.0860 5.0579 12.5381 0.6958 29.0836 0.0097 39.5787 0.0010 8.0327 6.5365 7.1899 4.5128 11.0243 0.6907 44.2445 44.8491 44.8520 43.1157 0.9819 44.6922 45.0886 0.6365 41.6526 43.6441 0.9899 44.2763 43.0479 6.8135 -348.2495 -381.9223
1.9252 5.5556 10.3861 0.7891 28.8889 0.0048 29.9731 0.0011 8.0173 6.5127 7.0818 4.5267 10.6189 4.9342 44.2529 44.8378 44.8435 43.2193 0.9765 44.6932 45.0823 0.6411 41.9519 43.6346 0.9797 44.2846 42.9664 6.9453 -345.4230 -381.8458
1.6979 3.4695 12.9170 0.7967 28.3751 0.0041 19.7673 0.0001 8.1647 6.4780 7.0523 4.5298 10.9469 2.0825 44.2500 44.8507 44.8541 43.1692 0.9796 44.6777 45.0839 0.6344 41.8334 43.6460 0.9848 44.2692 43.0937 6.9000 -344.1915 -387.4475
1.9754 1.5915 9.9010 0.7897 28.9724 0.0046 30.7376 0.0020 8.0655 6.5124 7.0847 4.5233 11.1327 0.0000 44.2899 44.8455 44.8462 43.1933 0.9782 44.6725 45.0786 0.6012 41.9437 43.6390 0.9802 44.2566 43.0377 7.5642 -343.9798 -381.9046
1.8302 3.4116 12.6541 0.7734 29.8788 0.0093 8.5987 0.0000 8.1402 6.4426 7.0040 4.5135 10.9756 0.6175 44.2879 44.8410 44.8456 43.1726 0.9790 44.6953 45.0851 0.6234 41.6706 43.6371 0.9893 44.2867 43.0619 7.5292 -344.2694 -382.6790
1.8612 10.9642 12.5246 0.7891 30.9585 0.0023 29.4493 0.0011 7.9726 6.3615 7.0777 4.5238 10.9469 2.0825 44.2864 44.8247 44.8342 43.2257 0.9754 44.6966 45.0762 0.6249 41.8997 43.6241 0.9815 44.2880 43.2226 7.5038 -343.9431 -388.9027
1.9606 7.2206 12.2624 0.7895 31.0862 0.0104 33.7076 0.0008 8.0126 6.3934 7.0966 4.5275 11.1048 0.0111 44.2832 44.8525 44.8528 43.1672 0.9798 44.6603 45.0781 0.6070 41.7496 43.6458 0.9875 44.2517 43.0333 7.4474 -344.8673 -387.1853
1.7105 2.8499 11.1676 0.6310 29.5730 0.0159 23.0602 0.0022 7.9341 6.4703 7.0567 4.5390 11.0364 2.5592 44.3659 44.8631 44.8736 43.2246 0.9775 44.6716 45.0892 0.5581 41.8639 43.6632 0.9844 44.2557 43.2775 9.0106 -353.7823 -388.3200
1.7704 12.6787 11.0770 0.7987 27.7013 0.0023 27.7066 0.0011 8.0101 6.5737 7.0857 4.5131 11.1327 0.0000 44.2516 44.8395 44.8552 43.2390 0.9755 44.6398 45.0627 0.5985 41.9724 43.6431 0.9791 44.2198 42.9980 6.9260 -350.8623 -382.6185
1.6946 2.9636 11.8162 0.6504 30.5564 0.0006 44.8809 0.0013 8.0797 6.3845 7.1540 4.5150 11.0944 0.8117 44.2159 44.8448 44.8477 43.1326 0.9810 44.6981 45.0885 0.6548 41.6653 43.6398 0.9895 44.2822 42.9006 6.3782 -353.6644 -381.8512
