metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.585356990767291085e+00 1.210265760436636384e+01 1.121795829838445968e+01 7.420163671909765224e-01 2.808996807910013160e+01 1.798314907798478912e-02 1.183099133753658982e+01 3.428886726945947578e-04 7.966269554727421820e+00 6.521111341597837452e+00 6.979164600291611009e+00 4.513601067376310283e+00
1.974457250046230961e+00 9.726118044852414712e+00 1.018723869678871097e+01 7.838527632985312632e-01 2.733234667780115856e+01 4.877341620275455446e-03 3.348484201175893560e+01 1.374929708188289256e-03 7.951447159663274533e+00 6.598398436755328333e+00 7.087347941250246919e+00 4.541738136455247599e+00
1.725997371076323672e+00 8.401746015256138733e+00 1.242823759919618887e+01 7.547429706159298757e-01 2.881351500051047765e+01 2.599195663014299690e-02 8.114673200787271057e+00 2.162153097551071813e-03 7.957811559265145718e+00 6.530027069504630077e+00 7.006137851571935471e+00 4.533203492163398352e+00
1.928124023058350067e+00 1.129648688471652562e+01 1.149835649288061212e+01 7.719083049494003257e-01 3.004871210748078170e+01 1.626293296947452574e-02 3.417335527742910273e+01 5.429599688215965323e-05 8.013473117459117390e+00 6.411276416928512134e+00 7.064340825451523642e+00 4.501515902850659501e+00
1.600139935663636770e+00 4.415325235243649615e+00 1.280923561107413988e+01 7.704192291086383593e-01 3.051444301658527536e+01 4.074884482934014798e-03 1.937034743416138838e+01 3.496650958963681512e-05 8.081057439026075429e+00 6.381635465210880653e+00 7.024497665012951586e+00 4.533137272320530542e+00
1.271108218237017917e+00 5.497273202347162657e-01 1.078807667464374376e+01 7.214952349221948058e-01 2.976625037765722226e+01 7.410188646560735351e-03 2.557170712841244153e+01 1.101180210310158825e-03 8.253843330085729235e+00 6.419002724110963953e+00 7.085534297506900003e+00 4.513819539918451085e+00
1.966121047081064832e+00 8.623518858711438639e+00 1.191733300716208710e+01 7.358901315327676107e-01 2.743790654580185517e+01 2.913409660048228364e-02 2.155796463961328158e+01 2.620740926124221241e-04 7.962137837889407876e+00 6.597366710280084590e+00 7.044945506231638177e+00 4.539930961476677851e+00
1.934843027228204226e+00 9.022457340702613848e+00 1.087819255309812760e+01 7.927207209563653656e-01 2.937327765139868774e+01 1.657843879429814877e-04 1.985983007967848835e+01 1.162114675312586349e-03 7.953770114786312462e+00 6.437217658234946072e+00 7.056588648481959325e+00 4.522081540417095979e+00
1.935641775653677454e+00 8.159735194444266426e+00 1.005020426496946406e+01 7.751703935656991673e-01 2.945047345303073172e+01 9.940458645587402220e-03 3.261507139140479694e+01 1.170062631784984008e-04 8.000646255490924119e+00 6.468945003498827617e+00 7.085258220598515067e+00 4.521008140740342185e+00
1.707719852574652641e+00 1.283642524433331999e+01 1.010685031247657406e+01 7.311245938465110727e-01 2.885728316245843672e+01 2.547201388660315369e-02 6.806609600922326475e-01 9.282317059029232022e-04 7.898679077173575536e+00 6.514271248389331248e+00 6.978784853869004934e+00 4.522494559131654768e+00
1.630209609053579589e+00 5.449789511165346489e+00 1.155164689331656014e+01 7.878185821514065434e-01 3.204367085277966964e+01 2.969903093119267371e-03 1.140382364581743246e+01 3.073963549713950878e-04 8.036606164732969404e+00 6.301497687709073148e+00 7.032101776623910894e+00 4.527752911680282821e+00
1.769532350112790864e+00 2.599754274517636521e+00 1.262215094134919724e+01 7.066922612649990665e-01 3.132667624647153559e+01 6.033237385401823624e-03 5.122105190634211880e+00 6.133374220007787626e-04 8.065922490865084171e+00 6.320335608652250414e+00 7.031705368795051925e+00 4.530669734494338741e+00
1.526857215067643825e+00 1.112462766351477939e+01 1.188536140448177747e+01 7.604713436162208184e-01 2.773933873670281258e+01 4.266742203969563045e-03 9.760110167226804023e+00 1.385900324256201773e-03 7.959488094859608509e+00 6.569205319140067445e+00 7.048019619349059184e+00 4.505762704502860316e+00
1.668070957870305238e+00 6.179953453820891340e+00 9.981900856727769167e+00 6.322217356523021081e-01 2.945568206692468394e+01 3.694115020821514203e-03 3.448404999725786979e+01 8.613415277727409346e-05 7.947158844009358347e+00 6.436018394912760954e+00 7.109014401243666015e+00 4.516436421008162228e+00
1.993717296888896318e+00 1.009976899523473692e+00 1.197712854812613337e+01 7.363008255284948511e-01 3.114611995832910907e+01 3.304568364468685182e-03 1.964040085245112977e+01 6.102187451928748133e-03 8.278347723541216396e+00 6.371231168567984327e+00 7.009166249204568544e+00 4.524797450740667415e+00
1.519008058175027376e+00 3.614844049916980051e+00 9.796181727168466580e+00 7.993848642057037601e-01 2.834052198177790061e+01 1.981787876569173629e-02 3.091802568113894623e+01 3.687720578963760197e-05 7.949096992978951448e+00 6.518432309600008523e+00 7.059097668612931642e+00 4.519844410077659802e+00
1.763774389810412568e+00 2.075983067560341233e+00 1.159824846703388346e+01 7.502205907017150954e-01 2.981311232348414819e+01 5.076681636283933950e-03 2.585304772195719636e+01 2.779525973378708936e-03 8.161686054920775035e+00 6.451305326828428832e+00 7.090784800062095883e+00 4.514348583006297488e+00
8.116303020315480676e-01 1.947245304312197556e+00 1.232571420132292417e+01 7.983266053451498756e-01 2.901341048819487867e+01 1.166011863722557886e-03 3.480174158604489065e+01 1.921510813251758225e-03 8.207061697124935051e+00 6.494304224110450718e+00 7.073660466776736655e+00 4.519670369627428741e+00
1.981644935870974678e+00 2.343898690852824207e-01 1.086314578028313349e+01 7.540960820989071056e-01 3.120541349713547419e+01 7.391492343325002483e-03 9.662765064515576041e-01 6.676731128756062221e-03 8.240394178529339086e+00 6.349762511831414713e+00 7.009582594616166062e+00 4.547943308140256491e+00
1.865478902378996162e+00 4.771209427243862322e+00 9.564147447040996397e+00 7.513315794344588294e-01 2.925772780478461499e+01 4.694112987518398936e-03 2.325375670037860232e+01 2.939877821521013354e-05 7.651429980938747377e+00 6.516638722770057512e+00 7.069103480372209702e+00 4.506096881658903541e+00
1.827295219665463044e+00 5.850412256189128968e+00 1.307755393257419207e+01 7.594032174643119415e-01 2.789067082516329066e+01 9.239730734311260921e-03 4.212604164541317431e+01 7.216721428075082486e-04 8.048166618528146188e+00 6.529074412576427733e+00 7.120351950410711339e+00 4.516694567624687906e+00
1.861511866634907530e+00 3.469481526455915343e+00 1.274274202536237866e+01 7.840246224496238980e-01 2.986675265030221027e+01 8.291632927322404797e-03 3.361765907406936549e+01 3.462324439453036700e-04 8.140699014754336105e+00 6.405434584703350254e+00 7.086168225892670591e+00 4.540811646278674729e+00
1.731170530848479050e+00 8.690514832829933312e+00 1.018860232884814643e+01 5.646509788884548353e-01 2.833171754952169863e+01 5.379908211201343474e-05 1.204768693860218143e+01 1.170800399110918981e-04 7.812263467496219249e+00 6.531687997805654788e+00 7.055445575051514595e+00 4.524040459590100483e+00
1.620764400153767326e+00 1.152413205542629493e+00 1.312104048321030625e+01 7.462474366009301807e-01 2.971375709459599079e+01 6.444286748738781503e-03 2.544409941399789687e+01 2.272137072660627109e-03 8.248941015279235955e+00 6.444192437335892976e+00 7.076329844330821572e+00 4.526642830842105170e+00
1.811941525592181579e+00 2.117382295784046020e-01 1.116260097062593104e+01 7.874949439269035567e-01 2.921032634347761459e+01 7.406463852382772287e-03 2.153938703898995755e+01 1.313853474497560193e-03 8.256972281340026143e+00 6.515135745289295954e+00 7.034305433589757683e+00 4.522477826077984986e+00
1.046368738510048857e+00 7.258531153512091549e+00 1.018584679347883082e+01 7.765305112666794907e-01 2.918630952159110592e+01 3.486974497421004883e-03 2.577516181689965080e+01 3.833953625472699862e-03 7.999540467631863550e+00 6.510194778146956907e+00 7.095661007136001786e+00 4.535578371456093549e+00
1.679017356368942782e+00 7.083885085603891518e+00 1.105279643786123778e+01 7.175019928375538925e-01 2.906312966064722048e+01 4.297456129612796903e-03 2.493710164797135320e+01 3.172362845957182962e-03 7.923613949816477486e+00 6.477329760009556736e+00 7.072531988899775968e+00 4.527527071852899709e+00
1.734348576192507707e+00 7.767205670529005346e+00 1.131904731481454007e+01 7.408267505607039061e-01 2.907552506124509506e+01 6.245706267135397310e-03 1.643329907273055923e+01 3.207103395389166063e-04 7.943711829899374521e+00 6.475871006288762999e+00 7.078441322487414311e+00 4.517994471778079557e+00
1.888349722287925525e+00 5.298050632325789877e+00 1.081445909164240149e+01 7.747393804679046925e-01 3.036148028673758859e+01 5.074122091661219767e-03 7.506529267080956025e+00 1.761742817759558372e-03 8.033345494854774671e+00 6.380715133988147159e+00 7.018266847754585314e+00 4.521082350432594765e+00
1.607525122614540170e+00 9.737291509843334580e+00 9.968042729673356916e+00 7.137242724129272409e-01 2.917798892946238709e+01 2.064731424811176892e-03 2.975540135674053843e+01 8.316621991651115342e-04 7.918516872063076306e+00 6.449681900245820998e+00 7.087367210130228301e+00 4.530015354770430491e+00
1.929310887391560980e+00 6.395302260927959281e+00 1.015438575601671189e+01 7.471203193764350825e-01 2.755982241561761725e+01 1.519223564178738203e-02 2.414270830513947175e+01 1.215436845340867262e-03 8.015909537552182940e+00 6.594951637326488481e+00 7.050495499152525269e+00 4.520816521555101275e+00
1.669456034489979590e+00 2.154949780938168136e+00 1.246914908897486640e+01 6.876367330315676929e-01 2.794103220537413534e+01 6.476588372353528356e-03 3.747897012024000674e+01 2.114059353876742309e-03 8.170701460280071160e+00 6.529821678959702780e+00 7.123820653205367393e+00 4.521961071339921645e+00
1.524147099449483456e+00 2.678914958192993634e+00 1.055126049080095996e+01 7.607149716767908076e-01 2.720666006782327884e+01 2.059905193924201419e-02 2.626582980364332442e+01 1.356076475403073087e-04 8.168398200591916236e+00 6.614385219301201602e+00 7.096792709098352248e+00 4.510840475980719688e+00
1.639391012584412888e+00 6.000345694173673472e+00 1.047811438986225419e+01 5.594554938948931300e-01 3.099497438536381111e+01 9.394198357238090977e-03 9.830812670831122091e+00 2.153474612802613614e-03 7.867592457010363916e+00 6.366015555531379988e+00 7.033368471344452644e+00 4.504485031840895104e+00
1.960424174199419944e+00 7.829537666431745535e+00 1.116748750167147364e+01 7.186070307692207226e-01 3.190379982770507183e+01 8.054256110113395054e-03 3.389609939303504405e+01 6.560917950083732918e-04 7.967842996472576544e+00 6.284069886316061115e+00 7.114057852451963981e+00 4.510816692558561769e+00
1.373244040279641531e+00 6.941673194427469440e+00 1.266988742404311807e+01 7.462490579659946111e-01 2.994701709081560281e+01 3.333213270907086061e-03 5.779839066890719579e+00 5.725673525736876476e-04 7.942377494741275967e+00 6.468272338067293958e+00 7.041436764720124586e+00 4.529762959408039080e+00
1.583622026065173660e+00 1.154371472297560430e+01 1.148216472327046489e+01 7.777971056140026151e-01 3.020241478673777635e+01 2.272498264135627399e-03 2.618746398463776970e+01 3.975754182821773092e-03 8.003412047439500299e+00 6.399777032166852564e+00 7.111762214811896854e+00 4.510721641830810924e+00
1.587035320217428547e+00 7.146129952793266682e+00 1.117791842824427917e+01 7.301150647399408111e-01 2.855245443943648809e+01 2.893937596152315085e-03 3.244639356050350898e+01 1.167669648837409884e-03 8.042042827776917591e+00 6.498821255788818974e+00 7.091984603552742072e+00 4.515572070148756723e+00
1.979326680861484222e+00 1.674177456747449888e+00 1.268688762383271396e+01 7.929036753847730212e-01 2.898805605771031679e+01 8.263575776050687688e-03 3.298470138933764417e+01 1.889589472406503351e-03 8.259692263255566047e+00 6.491331517588914579e+00 7.056241239397593290e+00 4.545911236108491238e+00
1.520878549146146286e+00 3.006950790391440531e+00 1.224587017366986075e+01 7.791019987601781605e-01 3.122504484620015575e+01 3.207590505174196709e-04 1.600058577223696332e+01 8.985559497364033373e-04 8.127031357365975595e+00 6.328013297009562166e+00 7.036013070143528836e+00 4.538160214759383138e+00
1.777276025890317745e+00 3.307073061910216882e+00 9.678194316534421304e+00 7.782741607976496612e-01 3.079959715915788365e+01 1.766790677520153549e-02 3.155077306277780380e+01 2.006885635714404214e-03 7.837698414214710141e+00 6.392850283242861309e+00 7.071674106690476691e+00 4.524372242186467830e+00
1.916203979170751692e+00 4.090676808255595986e+00 1.186186038122719211e+01 7.850236517338075037e-01 2.934296694637461655e+01 1.595215131238955121e-04 4.180279173844403573e+01 8.650036235092120737e-04 8.194588063348405171e+00 6.448970607788375276e+00 7.096517925397861859e+00 4.511912497500629726e+00
1.517911800810455292e+00 1.304454214088031172e+01 1.063752605978261556e+01 7.485031651448426082e-01 2.899745690420450472e+01 3.248895373929095581e-02 1.993934139443709341e+01 1.160283124388487592e-03 7.926360724685274306e+00 6.494734722005642169e+00 7.045944726857683804e+00 4.523240618008344427e+00
1.540724256194448527e+00 3.198372896068635729e+00 1.285963059834952738e+01 6.396340355733568517e-01 3.023396184812101239e+01 2.927703837449318908e-03 3.783338765283358640e+01 2.387452571941893129e-03 8.129857307102984265e+00 6.398215479945037032e+00 7.120706388730930314e+00 4.501910200558683073e+00
1.865906049777605658e+00 1.387290991637363025e+00 1.215661147520773611e+01 7.516586455287460611e-01 3.010829597145957237e+01 9.471878429682103681e-03 2.575332147627519319e+01 5.643793810593942910e-03 8.236260322081598417e+00 6.423308439026829575e+00 7.075568962342206447e+00 4.541525302588551583e+00
1.693975300144996865e+00 2.440675134050818151e+00 1.241284491913711108e+01 7.477036375904586585e-01 2.673257583237825941e+01 1.270769705181789416e-02 1.809211068019632407e+01 1.863615916704083626e-03 8.129966501931981782e+00 6.635179677925872710e+00 7.071390873627350970e+00 4.524938506866609700e+00
1.641914893298601408e+00 1.464336978433234515e+00 1.073014408630668726e+01 7.200863636861538630e-01 2.684359160978474534e+01 2.561714466781937760e-02 1.189987393883238909e+01 2.633415731188900287e-03 8.260811056301797350e+00 6.652749127038170229e+00 6.990909170179616439e+00 4.524974316298742139e+00
9.492823875326263927e-01 1.162207787865083830e+00 1.227182034052538384e+01 7.693606602794751392e-01 2.920023386185790670e+01 4.062682875856363750e-03 4.457687621980056036e+01 5.395205793961738508e-03 8.229723931761917299e+00 6.460234099947914643e+00 7.155929951836476732e+00 4.539258398955199780e+00
9.298159237862939630e-01 3.630066984441797651e+00 1.162235285758807990e+01 7.929242312373165902e-01 2.801973942880119495e+01 1.327376943186007324e-02 1.803728089578304328e+00 2.652212198950760092e-03 8.065321562909751663e+00 6.546485265611945437e+00 7.026909091735266344e+00 4.515459993962576135e+00
1.827943228527326269e+00 4.722683530279057962e+00 1.293665861394360661e+01 7.692028643522839104e-01 3.029698945995817638e+01 4.497142494949002769e-03 1.411626696177365226e+01 2.488657659850633790e-03 8.057364831551389273e+00 6.380105682847933224e+00 7.000437576788637983e+00 4.513072280340768572e+00
