logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.549227626098421875e+13 -1.549227626099021094e+13 1.760000000000000009e+00
-1.549227626099021094e+13 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.201547970044219531e+13 -1.201547970044819141e+13 6.899999999999999467e-01
-1.201547970044819141e+13 1.738398280271206787e+12 -5.000000000000000104e-03 4.000000000000000000e+02 -1.060334356620636914e+13 -1.060334356621236719e+13 1.695000000000000062e+00
-1.060334356621236719e+13 2.054369480970250244e+12 -7.499999999999999722e-03 4.000000000000000000e+02 -6.327415666988117188e+12 -6.327415666994117188e+12 5.000000000000000104e-03
-6.327415666994117188e+12 3.558040047435412598e+12 -1.000000000000000021e-02 4.000000000000000000e+02 -5.526702084292252930e+12 -5.526702084298255859e+12 1.395000000000000018e+00
-5.526702084298255859e+12 1.766359074553406250e+12 -1.250000000000000069e-02 4.000000000000000000e+02 -4.045231140465784668e+12 -4.045231140471790039e+12 1.985000000000000098e+00
-4.045231140471790039e+12 7.802385284948167725e+11 -1.500000000000000118e-02 4.000000000000000000e+02 -2.934948570129240723e+12 -2.934948570135248535e+12 1.900000000000000022e-01
-2.934948570135248535e+12 1.236840808088840576e+12 -1.750000000000000167e-02 4.000000000000000000e+02 -2.868375229690760742e+12 -2.868375229696770996e+12 1.745000000000000107e+00
-2.868375229696770996e+12 2.882710201706400681e+10 -2.000000000000000042e-02 4.000000000000000000e+02 -1.489788370693503662e+12 -1.489788370699516357e+12 1.799999999999999933e-01
-1.489788370699516357e+12 3.810212793503415527e+11 -2.249999999999999917e-02 4.000000000000000000e+02 -1.028285654802225342e+12 -1.028285654808240601e+12 1.250000000000000000e-01
-1.028285654808240601e+12 1.998365379391499329e+11 -2.499999999999999792e-02 4.000000000000000000e+02 -9.545141266182938232e+11 -9.545141266243115234e+11 8.649999999999999911e-01
-9.545141266243115234e+11 1.467849062113480835e+11 -2.749999999999999667e-02 4.000000000000000000e+02 -7.970911114539771729e+11 -7.970911114599974365e+11 4.349999999999999978e-01
-7.970911114599974365e+11 1.895769847217200317e+11 -2.999999999999999542e-02 4.000000000000000000e+02 -6.701120318460571289e+11 -6.701120318520798340e+11 5.000000000000000104e-03
-6.701120318520798340e+11 2.342323048322118835e+11 -3.249999999999999417e-02 4.000000000000000000e+02 -6.273901239846640625e+11 -6.273901239906893311e+11 1.129999999999999893e+00
-6.273901239906893311e+11 2.367336778620042114e+11 -3.499999999999999639e-02 4.000000000000000000e+02 -3.234860458637775269e+11 -3.234860458698052368e+11 1.219999999999999973e+00
-3.234860458698052368e+11 1.432617563127887573e+11 -3.749999999999999861e-02 4.000000000000000000e+02 -2.209322974864132080e+11 -2.209322974924434204e+11 6.450000000000000178e-01
-2.209322974924434204e+11 3.821952545369924164e+10 -4.000000000000000083e-02 4.000000000000000000e+02 -2.201197929466830139e+11 -2.201197929527157288e+11 4.500000000000000111e-01
-2.201197929527157288e+11 3.840292607544256592e+10 -4.250000000000000305e-02 4.000000000000000000e+02 -2.167618466016550293e+11 -2.167618466076902466e+11 9.849999999999999867e-01
-2.167618466076902466e+11 1.833806959398552656e+09 -4.500000000000000527e-02 4.000000000000000000e+02 -2.052844773933695984e+11 -2.052844773994073181e+11 2.550000000000000044e-01
-2.052844773994073181e+11 5.866595765566506386e+09 -4.750000000000000749e-02 4.000000000000000000e+02 -5.796677407145182800e+10 -5.796677407749204254e+10 1.169999999999999929e+00
-5.796677407749204254e+10 7.397113537561608887e+10 -5.000000000000000971e-02 4.000000000000000000e+02 -4.807035147905577087e+10 -4.807035148509848785e+10 1.135000000000000009e+00
-4.807035148509848785e+10 4.562516924339221954e+10 -5.250000000000001193e-02 4.000000000000000000e+02 -3.947425346073180389e+10 -3.947425346677701569e+10 1.629999999999999893e+00
-3.947425346677701569e+10 5.775326899983380318e+09 -5.500000000000001416e-02 4.000000000000000000e+02 -3.798596802269607544e+10 -3.798596802874378967e+10 1.584999999999999964e+00
-3.798596802874378967e+10 2.749238361737877369e+09 -5.750000000000001638e-02 4.000000000000000000e+02 -3.795844823964298248e+10 -3.795844824569319916e+10 1.725000000000000089e+00
-3.795844824569319916e+10 6.511744271906336546e+08 -6.000000000000001860e-02 4.000000000000000000e+02 -3.143021190420072174e+10 -3.143021191025343704e+10 1.639999999999999902e+00
-3.143021191025343704e+10 3.271012584090805054e+09 -6.250000000000001388e-02 4.000000000000000000e+02 -3.054312729768368149e+10 -3.054312730373889542e+10 1.094999999999999973e+00
-3.054312730373889542e+10 2.690066996562691689e+09 -6.500000000000001610e-02 4.000000000000000000e+02 -2.668198983979084396e+10 -2.668198984584855652e+10 8.100000000000000533e-01
-2.668198984584855652e+10 3.302928520730008602e+09 -6.750000000000001832e-02 4.000000000000000000e+02 -2.208652431148637772e+10 -2.208652431754659271e+10 1.929999999999999938e+00
-2.208652431754659271e+10 4.761295385099010468e+09 -7.000000000000002054e-02 4.000000000000000000e+02 -1.632195554702129555e+10 -1.632195555308400917e+10 2.999999999999999889e-02
-1.632195555308400917e+10 4.275410720308216572e+09 -7.250000000000002276e-02 4.000000000000000000e+02 -1.208967928920886612e+10 -1.208967929527408028e+10 7.399999999999999911e-01
-1.208967929527408028e+10 1.832629377251353502e+09 -7.500000000000002498e-02 4.000000000000000000e+02 -1.154320386262680817e+10 -1.154320386869452286e+10 1.770000000000000018e+00
-1.154320386869452286e+10 1.308964737583249092e+09 -7.750000000000002720e-02 4.000000000000000000e+02 -6.083396710148199081e+09 -6.083396716218413353e+09 4.499999999999999833e-02
-6.083396716218413353e+09 2.779176766140323639e+09 -8.000000000000002942e-02 4.000000000000000000e+02 -4.703861206616308212e+09 -4.703861212689022064e+09 1.084999999999999964e+00
-4.703861212689022064e+09 1.890294450609130144e+09 -8.250000000000003164e-02 4.000000000000000000e+02 -4.595263354395329475e+09 -4.595263360470543861e+09 1.540000000000000036e+00
-4.595263360470543861e+09 5.429892672399998456e+07 -8.500000000000003386e-02 4.000000000000000000e+02 -3.839081577702067852e+09 -3.839081583779782295e+09 4.499999999999999833e-02
-3.839081583779782295e+09 3.978710415333908796e+08 -8.750000000000003608e-02 4.000000000000000000e+02 -3.787591945647034168e+09 -3.787591951727248669e+09 6.700000000000000400e-01
-3.787591951727248669e+09 2.503269346709941924e+08 -9.000000000000003830e-02 4.000000000000000000e+02 -3.623807787584801197e+09 -3.623807793667515278e+09 1.895000000000000018e+00
-3.623807793667515278e+09 2.978272681968967319e+08 -9.250000000000004052e-02 4.000000000000000000e+02 -3.231479811389142513e+09 -3.231479817474356651e+09 6.899999999999999467e-01
-3.231479817474356651e+09 3.949003431869834065e+08 -9.500000000000004274e-02 4.000000000000000000e+02 -2.613399792131024837e+09 -2.613399798218739033e+09 1.900000000000000022e-01
-2.613399798218739033e+09 6.319941619577260017e+08 -9.750000000000004496e-02 4.000000000000000000e+02 -2.500005019919887066e+09 -2.500005026010101318e+09 1.764999999999999902e+00
-2.500005026010101318e+09 3.093321055303507447e+08 -1.000000000000000472e-01 4.000000000000000000e+02 -1.514147494903970242e+09 -1.514147500996684551e+09 1.459999999999999964e+00
-1.514147500996684551e+09 6.207564196830577850e+08 -1.025000000000000494e-01 4.000000000000000000e+02 -1.368429208141583920e+09 -1.368429214236798286e+09 1.594999999999999973e+00
-1.368429214236798286e+09 6.090221126768665314e+08 -1.050000000000000516e-01 4.000000000000000000e+02 -8.837588199716974497e+08 -8.837588260694117546e+08 1.939999999999999947e+00
-8.837588260694117546e+08 7.530823285278773308e+08 -1.075000000000000538e-01 4.000000000000000000e+02 -8.227713278708033562e+08 -8.227713339710175991e+08 1.995000000000000107e+00
-8.227713339710175991e+08 7.700919720982191563e+08 -1.100000000000000561e-01 4.000000000000000000e+02 -7.764955670338305235e+08 -7.764955731365448236e+08 5.000000000000000000e-01
-7.764955731365448236e+08 7.890855094613940716e+08 -1.125000000000000583e-01 4.000000000000000000e+02 -7.547352940306280851e+08 -7.547353001358423233e+08 1.049999999999999961e-01
-7.547353001358423233e+08 7.937550234636532068e+08 -1.150000000000000605e-01 4.000000000000000000e+02 -7.332624507272905111e+08 -7.332624568350048065e+08 2.550000000000000044e-01
-7.332624568350048065e+08 7.983968330684567690e+08 -1.175000000000000627e-01 4.000000000000000000e+02 -5.022657626197810173e+08 -5.022657687299953103e+08 1.889999999999999902e+00
-5.022657687299953103e+08 2.436699633531003594e+08 -1.200000000000000649e-01 4.000000000000000000e+02 -4.994954659857085347e+08 -4.994954720984228253e+08 5.250000000000000222e-01
-4.994954720984228253e+08 8.681781801576715708e+07 -1.225000000000000672e-01 4.000000000000000000e+02 -4.901726580594412684e+08 -4.901726641746555567e+08 1.849999999999999978e-01
-4.901726641746555567e+08 6.552536918098430336e+07 -1.250000000000000555e-01 4.000000000000000000e+02 -4.764845831089839339e+08 -4.764845892266982198e+08 1.854999999999999982e+00
-4.764845892266982198e+08 6.822459557062169909e+07 -1.275000000000000577e-01 4.000000000000000000e+02 -4.739530313690216541e+08 -4.739530374892359376e+08 8.699999999999999956e-01
-4.739530374892359376e+08 7.010334196715719998e+07 -1.300000000000000600e-01 4.000000000000000000e+02 -4.190541550220382214e+08 -4.190541611447525024e+08 9.500000000000000111e-02
-4.190541611447525024e+08 2.637630873228368536e+07 -1.325000000000000622e-01 4.000000000000000000e+02 -4.067102227957763076e+08 -4.067102289209905863e+08 1.659999999999999920e+00
-4.067102289209905863e+08 2.554641789892114699e+07 -1.350000000000000644e-01 4.000000000000000000e+02 -3.603132330037064552e+08 -3.603132391314207315e+08 1.969999999999999973e+00
-3.603132391314207315e+08 2.762132935561375320e+07 -1.375000000000000666e-01 4.000000000000000000e+02 -2.951987529205425382e+08 -2.951987590507568121e+08 4.299999999999999933e-01
-2.951987590507568121e+08 5.017155661406088620e+07 -1.400000000000000688e-01 4.000000000000000000e+02 -2.833980862735500932e+08 -2.833980924062643647e+08 8.000000000000000167e-02
-2.833980924062643647e+08 3.694808371746823937e+07 -1.425000000000000711e-01 4.000000000000000000e+02 -2.461880353810825944e+08 -2.461880415162968934e+08 5.450000000000000400e-01
-2.461880415162968934e+08 1.611242507796831615e+07 -1.450000000000000733e-01 4.000000000000000000e+02 -2.419399477900076807e+08 -2.419399539277219772e+08 1.604999999999999982e+00
-2.419399539277219772e+08 1.533640918181408942e+07 -1.475000000000000755e-01 4.000000000000000000e+02 -2.304832019543752074e+08 -2.304832080945895016e+08 1.189999999999999947e+00
-2.304832080945895016e+08 1.459590992908665352e+07 -1.500000000000000777e-01 4.000000000000000000e+02 -2.260522698130108714e+08 -2.260522759557251632e+08 6.650000000000000355e-01
-2.260522759557251632e+08 5.588594457527708262e+06 -1.525000000000000799e-01 4.000000000000000000e+02 -2.179777600947960615e+08 -2.179777662400103509e+08 8.149999999999999467e-01
-2.179777662400103509e+08 4.558579719350096770e+06 -1.550000000000000822e-01 4.000000000000000000e+02 -2.127321551444498599e+08 -2.127321612921641469e+08 1.600000000000000089e+00
-2.127321612921641469e+08 4.980308835064445622e+06 -1.575000000000000844e-01 4.000000000000000000e+02 -1.805000957449576557e+08 -1.805001018951719403e+08 6.600000000000000311e-01
-1.805001018951719403e+08 1.519433845274530537e+07 -1.600000000000000866e-01 4.000000000000000000e+02 -1.460990356120200753e+08 -1.460990417647343576e+08 1.650000000000000078e-01
-1.460990417647343576e+08 2.536514095197460055e+07 -1.625000000000000888e-01 4.000000000000000000e+02 -1.364549002063039839e+08 -1.364549063615182638e+08 6.300000000000000044e-01
-1.364549063615182638e+08 2.100797797879393026e+07 -1.650000000000000910e-01 4.000000000000000000e+02 -1.307031541703748852e+08 -1.307031603280891776e+08 6.750000000000000444e-01
-1.307031603280891776e+08 4.540921278697349131e+06 -1.675000000000000933e-01 4.000000000000000000e+02 -1.238271270256831646e+08 -1.238271331858974546e+08 1.995000000000000107e+00
-1.238271331858974546e+08 4.200337923045828007e+06 -1.700000000000000955e-01 4.000000000000000000e+02 -1.215965218082247078e+08 -1.215965279709389955e+08 1.889999999999999902e+00
-1.215965279709389955e+08 4.530598427839575335e+06 -1.725000000000000977e-01 4.000000000000000000e+02 -1.067944560030214041e+08 -1.067944621682356894e+08 5.899999999999999689e-01
-1.067944621682356894e+08 1.027893135056195036e+07 -1.750000000000000999e-01 4.000000000000000000e+02 -1.038105329321442246e+08 -1.038105390998585075e+08 1.574999999999999956e+00
-1.038105390998585075e+08 1.023693167575135455e+07 -1.775000000000001021e-01 4.000000000000000000e+02 -1.011501349486339241e+08 -1.011501411188482046e+08 3.449999999999999734e-01
-1.011501411188482046e+08 1.032964411115240864e+07 -1.800000000000001044e-01 4.000000000000000000e+02 -9.257401949332267046e+07 -9.257402566603696346e+07 7.399999999999999911e-01
-9.257402566603696346e+07 1.244370978264730237e+07 -1.825000000000001066e-01 4.000000000000000000e+02 -9.206782050002744794e+07 -9.206782667524173856e+07 2.500000000000000000e-01
-9.206782667524173856e+07 4.479956270876616240e+06 -1.850000000000001088e-01 4.000000000000000000e+02 -9.026237346007648110e+07 -9.026237963779076934e+07 9.500000000000000111e-02
-9.026237963779076934e+07 4.423037090488995425e+06 -1.875000000000001110e-01 4.000000000000000000e+02 -8.738845941190925241e+07 -8.738846559212353826e+07 8.299999999999999600e-01
-8.738846559212353826e+07 5.294131956235265359e+06 -1.900000000000001132e-01 4.000000000000000000e+02 -7.795599808290016651e+07 -7.795600426561444998e+07 6.700000000000000400e-01
-7.795600426561444998e+07 8.287884481032964773e+06 -1.925000000000001155e-01 4.000000000000000000e+02 -6.803087090433295071e+07 -6.803087708954723179e+07 2.200000000000000011e-01
-6.803087708954723179e+07 7.382659588509283960e+06 -1.950000000000001177e-01 4.000000000000000000e+02 -6.393923320686899126e+07 -6.393923939458327740e+07 3.750000000000000000e-01
