weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -1.549227626098421875e+13 8.841604382684882246e-01 4.046813552712330342e+00 1.304250396987854010e+01 5.605711215256429236e-01 2.963203322257569283e+01 4.221012198536486237e-02 5.327194557970160727e-01 2.061718238016944094e-01 -2.487283130058049352e+00 3.130595450046547157e+00 -1.369523922308887975e+00 9.874974654249268013e+00
0.000000000000000000e+00 -1.201547970044219531e+13 9.448079143654393164e-01 4.560504161092041819e+00 8.815395679261389006e+00 3.403856870057324069e-01 1.935955455847562234e+01 1.412163129711505039e-02 1.207737932470966413e+01 2.895177046844884527e-01 2.505770581326199675e+00 7.941490699461478897e+00 -2.591448521977923747e-02 9.901026563838982497e+00
0.000000000000000000e+00 -1.060334356620636914e+13 1.168313912112485253e+00 5.949623464604450795e+00 9.297789962053490953e+00 2.845526534302098565e-01 3.498722713650969496e+01 7.788210438349854083e-03 2.585051137467792870e+01 1.736499683498974322e-01 8.241279412521294034e-01 6.882112418962698541e+00 2.071846224189293650e+00 9.758624049024980707e+00
0.000000000000000000e+00 -6.327415666988117188e+12 3.313401612643296357e-01 9.008154375868375752e+00 1.158420874326643002e+01 7.235164205959930817e-01 2.801321460694069287e+01 4.551270676224523914e-02 7.756943666933231896e+01 3.583519793032529099e-01 -7.141858432221512842e+00 -7.988098295537318094e+00 -8.931139356421509135e+00 9.823760905577497482e+00
0.000000000000000000e+00 -5.526702084292252930e+12 1.303109770027001124e+00 1.010499606682011908e+01 9.572500211401884229e+00 7.196391543763356324e-01 1.425966746708260935e+01 3.730490996211334453e-02 3.688160209011923030e+01 2.444426919949462818e-01 -6.693809309739209290e+00 -8.483063728626587974e+00 -2.244208183753055863e+00 9.689414641487207547e+00
0.000000000000000000e+00 -4.045231140465784668e+12 1.451955845169550674e+00 3.012525680589927646e+00 9.094328346745626845e+00 5.215434673295002987e-01 2.371403263423369623e+01 1.866868865501612740e-02 8.276634233833276255e+01 5.696502846718205504e-01 3.936040776888505732e+00 -3.195839110444069320e+00 9.645687003323036635e+00 9.896435895302513330e+00
0.000000000000000000e+00 -2.934948570129240723e+12 6.710209112015632638e-01 3.463950928215161706e+00 1.075718319557394054e+01 7.220204587500358429e-01 3.849239931466038911e+01 1.129512850428722633e-02 4.420381696882380851e+01 1.256484795405168331e-01 -4.077402824400879311e+00 -3.219301530423884117e+00 -2.124292858509639892e+00 9.426461850915210050e+00
0.000000000000000000e+00 -2.868375229690760742e+12 1.928738459060510557e+00 3.322486062552697295e+00 7.480186135650761514e+00 7.895384748237209704e-01 3.788992140689353505e+01 1.651422387651150722e-02 3.193732619344109125e+01 3.335643132210798223e-01 2.007658919082793147e-01 -1.867154271980897562e+00 2.889545034872398332e-01 9.630104808211367384e+00
0.000000000000000000e+00 -1.489788370693503662e+12 1.864966820484400323e+00 6.187133086236339174e+00 1.078469759320506149e+01 7.272629858438249828e-01 4.031032517793573078e+01 4.944547469847525994e-03 6.361965454467855352e+01 1.032416271676377395e-01 -4.183260280326419611e+00 5.853410990345626175e+00 -2.250010737410679695e+00 9.252888533736868482e+00
0.000000000000000000e+00 -1.028285654802225342e+12 1.202544766994258829e+00 1.652207900765241710e+00 1.172739557970319879e+01 1.858600478125987387e-01 2.096770423558831453e+01 2.362580959852334309e-02 3.750747222143189674e+01 4.703761401040570389e-01 -9.673370850685909517e+00 -8.750743136983318848e+00 -7.983188487507653086e+00 9.522552973276457777e+00
0.000000000000000000e+00 -9.545141266182938232e+11 2.470694829199338582e-01 5.503774924996355900e+00 1.298992917220372689e+01 3.553923334896888497e-01 1.910509415512235876e+01 1.168139849012210518e-02 3.575662280194624731e-01 4.811008813859716238e-01 -8.215307862203928835e+00 -7.767999167902335245e-01 8.241394486996384217e+00 9.514901203328143708e+00
0.000000000000000000e+00 -7.970911114539771729e+11 1.627835346819344053e+00 3.232644610366909088e+00 1.042912237052654945e+01 2.923308570675973161e-01 3.727476557926175360e+01 4.894595066565513020e-02 8.110570294543865089e+01 6.283754754051407154e-02 -2.267842056429776321e+00 -7.204745255978624030e+00 -5.884987755044070568e+00 9.066633327750842852e+00
0.000000000000000000e+00 -6.701120318460571289e+11 3.180071649530639144e-01 7.708181590513236259e+00 8.734971746976334828e+00 6.013677394495411388e-01 2.385155939370583056e+01 4.234543374904082419e-02 3.941014276847486286e+01 9.708393210996743017e-01 3.345821214681190980e+00 9.098799053418737515e+00 -4.145521580617037571e+00 9.773848616443714832e+00
0.000000000000000000e+00 -6.273901239846640625e+11 1.769972866966367464e+00 1.268451698919221293e+01 9.750999189890556806e+00 7.409312934566550934e-01 3.483898594119951753e+01 1.483395265116390672e-02 5.102398952359720141e+01 3.055772982021646156e-01 8.961400380679766187e+00 -5.156101954324316949e+00 -7.661181418032098733e+00 9.274714144546557293e+00
0.000000000000000000e+00 -3.234860458637775269e+11 1.973472509266461561e+00 3.306476927409373712e+00 1.147904820754223110e+01 4.329627729832888350e-01 4.101800882906467649e+01 5.186899759951611039e-02 3.776131121329544271e+01 5.343687390592594122e-01 7.655938538415810513e+00 -7.804910620914178310e-01 3.668305729813766902e+00 9.321324507217561006e+00
0.000000000000000000e+00 -2.209322974864132080e+11 8.821216222536791829e-01 7.477333459144054117e+00 9.967637574465289418e+00 6.296071118451079807e-01 2.303201617667023271e+01 2.880741580823535652e-02 6.638227431607318429e+00 7.809779983941250725e-01 -9.333077123825743726e+00 -1.543444406944217917e+00 -2.516450899519185214e+00 9.413118478983019344e+00
0.000000000000000000e+00 -2.201197929466830139e+11 4.088850864197003387e-01 1.224454626796240397e+01 1.303802218270818969e+01 2.434580437328612845e-01 3.090902957215856617e+01 3.664557947796961979e-02 7.967186955334169340e+01 2.986830867823284663e-01 1.745265886487818108e+00 2.716757086979974645e+00 7.687697257129627815e+00 9.041004288183508208e+00
0.000000000000000000e+00 -2.167618466016550293e+11 1.503434128161997840e+00 5.324721257415590436e+00 1.121999291598447712e+01 6.169565429697223546e-01 3.970746300809256013e+01 1.569168495951026726e-02 5.685264360565408737e+01 2.098743547204529047e-02 -5.526305354047917895e+00 1.069979106482003672e+00 -7.451289660939679038e+00 8.726606675966724680e+00
0.000000000000000000e+00 -2.052844773933695984e+11 1.954962969624512992e+00 5.873430902247448238e+00 8.362769789584874047e+00 7.415279118081981036e-01 3.061724377835457744e+01 5.352897321068872394e-02 1.194285977304644497e+01 1.107801409441276919e-01 -9.401342168015844436e+00 -4.571636141707600132e-01 -4.895090245374202453e+00 8.831504691228563075e+00
0.000000000000000000e+00 -5.796677407145182800e+10 1.572442590469754986e+00 1.056250950318157855e+01 1.118807372961992641e+01 5.793675201364211214e-01 4.122434599910960173e+01 2.550469691703937183e-02 6.045936091546472113e+01 1.120568646080004616e-01 -6.846276140499529816e+00 9.885982443844746115e+00 -8.245311803913686788e+00 8.412287237548138563e+00
0.000000000000000000e+00 -4.807035147905577087e+10 1.406496298218681718e+00 8.298889951259756259e+00 8.365126803450420923e+00 7.355326618810473782e-01 3.367407945521238588e+01 1.530129186235919952e-02 4.664886133317212824e+01 1.264166269936264353e-01 2.175592024605387920e+00 7.932429329961767195e+00 2.051208906937393550e+00 8.534540831576563846e+00
0.000000000000000000e+00 -3.947425346073180389e+10 1.257393020163424913e+00 3.466061814630239657e-01 9.864829890768820775e+00 6.617023703897505493e-01 1.807780532693662323e+01 4.391626397139387905e-02 5.042728699370083945e+01 2.177720203903731333e-01 -6.739491852986372322e-01 -5.426481452946809725e-01 2.887283635909023261e+00 8.589930040643604769e+00
0.000000000000000000e+00 -3.798596802269607544e+10 1.541184659898645837e+00 7.291045867250224966e+00 1.204675421415227632e+01 2.968227561009618709e-01 1.639471159680367762e+01 5.303383811612808613e-02 8.967913740396289768e+01 2.997652108345207900e-01 -5.112217875410336454e+00 4.877418604609989217e+00 9.594843454112936598e+00 8.660418420581656562e+00
0.000000000000000000e+00 -3.795844823964298248e+10 1.579019737687644920e+00 2.303834082558200436e+00 1.022077353940483135e+01 5.065326683593369683e-01 4.099501448072085452e+01 3.213884882280508559e-02 2.008927279029205692e+01 5.117822572532753078e-01 -3.020155294154154291e+00 9.964967387035443380e+00 -4.563196563910398851e-01 -7.834611166769891000e+00
0.000000000000000000e+00 -3.143021190420072174e+10 1.007048008602154932e+00 1.217922569727344317e+01 9.444918250645489621e+00 3.497094668687117935e-01 2.284447011695768737e+01 4.129013684160647013e-02 1.599896946135936027e+01 7.732728311230371299e-01 -8.812721325828619001e+00 5.403802987384253242e+00 7.930294350634614631e+00 8.984587416653806002e+00
0.000000000000000000e+00 -3.054312729768368149e+10 1.875261467081755118e+00 8.929157900000596726e+00 7.086939523600898738e+00 1.313011516995520878e-01 4.128403283325771866e+01 1.805521422031247311e-02 5.038464649253752725e+01 4.060352720580466812e-01 7.365679935943724388e+00 -4.840569269268368835e+00 -3.128878275263653919e+00 8.705536865579166061e+00
