weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -1.549227626098421875e+13 3.800891323713823100e-01 3.048161801683327843e-01 9.805742834560144949e-01 6.807614953675238390e-01 5.544473775377488645e-01 7.816689256549047560e-01 5.919105064411289696e-03 2.061718238016944094e-01 3.756358434970975546e-01 6.565297725023273578e-01 4.315238038845555790e-01 9.937487327124634451e-01
0.000000000000000000e+00 -1.201547970044219531e+13 4.137821746474662499e-01 3.439926908985846410e-01 2.946014311707043642e-01 3.871809160076432610e-01 1.843841415714507770e-01 2.615116906873157232e-01 1.341931036078851669e-01 2.895177046844884527e-01 6.252885290663099394e-01 8.970745349730739893e-01 4.987042757390109937e-01 9.950513281919491915e-01
0.000000000000000000e+00 -1.060334356620636914e+13 5.379521733958251284e-01 4.499335946486233695e-01 3.728841150630332058e-01 3.127368712402798234e-01 7.473667744836132165e-01 1.442261192287009886e-01 2.872279041630880769e-01 1.736499683498974322e-01 5.412063970626064258e-01 8.441056209481350159e-01 6.035923112094646603e-01 9.879312024512489909e-01
0.000000000000000000e+00 -6.327415666988117188e+12 7.296675625796089637e-02 6.831918382475937745e-01 7.439229210356037569e-01 8.980218941279907163e-01 4.961298794018837999e-01 8.428279030045413567e-01 8.618826296592480007e-01 3.583519793032529099e-01 1.429070783889243579e-01 1.005950852231340953e-01 5.344303217892454327e-02 9.911880452788748297e-01
0.000000000000000000e+00 -5.526702084292252930e+12 6.128387611261117973e-01 7.668422487748494110e-01 4.174639460826956583e-01 8.928522058351140434e-01 6.621031213484007694e-04 6.908316659650618474e-01 4.097955787791025539e-01 2.444426919949462818e-01 1.653095345130395355e-01 7.584681356867062352e-02 3.877895908123472068e-01 9.844707320743604217e-01
0.000000000000000000e+00 -4.045231140465784668e+12 6.955310250941948436e-01 2.259364240283857628e-01 3.398664739268664192e-01 6.287246231060004131e-01 3.412530239854794090e-01 3.457164565743726659e-01 9.196260259814751370e-01 5.696502846718205504e-01 6.968020388444252644e-01 3.402080444777965118e-01 9.822843501661518983e-01 9.948217947651256665e-01
0.000000000000000000e+00 -2.934948570129240723e+12 2.616782840008684552e-01 2.603642795682790112e-01 6.097136614520007880e-01 8.960272783333811386e-01 8.736396440879736769e-01 2.091690463756893381e-01 4.911535218758200649e-01 1.256484795405168331e-01 2.961298587799560122e-01 3.390349234788058164e-01 3.937853570745180054e-01 9.713230925457605469e-01
0.000000000000000000e+00 -2.868375229690760742e+12 9.604102550336169886e-01 2.495754900962267042e-01 7.792434696583616649e-02 9.860512997649611977e-01 8.519355421436606290e-01 3.058189606761390067e-01 3.548591799271232361e-01 3.335643132210798223e-01 5.100382945954139435e-01 4.066422864009551219e-01 5.144477251743619917e-01 9.815052404105684136e-01
0.000000000000000000e+00 -1.489788370693503662e+12 9.249815669357779324e-01 4.680472180799510884e-01 6.141786830517139695e-01 9.030173144584332512e-01 9.391299263955529275e-01 9.156569388606528026e-02 7.068850504964283576e-01 1.032416271676377395e-01 2.908369859836790194e-01 7.926705495172813309e-01 3.874994631294660374e-01 9.626444266868434685e-01
0.000000000000000000e+00 -1.028285654802225342e+12 5.569693149968104606e-01 1.221920626783701003e-01 7.671592035832414114e-01 1.811467304167983516e-01 2.423172941133273361e-01 4.375149925652470628e-01 4.167496913492432786e-01 4.703761401040570389e-01 1.633145746570451376e-02 6.246284315083405758e-02 1.008405756246173457e-01 9.761276486638228445e-01
0.000000000000000000e+00 -9.545141266182938232e+11 2.614971273329658175e-02 4.159310456218510144e-01 9.720424736608010985e-01 4.071897779862517774e-01 1.752172750955642844e-01 2.163221942615204396e-01 3.972958089105138590e-03 4.811008813859716238e-01 8.923460688980355826e-02 4.611600041604883016e-01 9.120697243498192552e-01 9.757450601664071632e-01
0.000000000000000000e+00 -7.970911114539771729e+11 7.932418593440800914e-01 2.427237498499338342e-01 5.564761277980013743e-01 3.231078094234630660e-01 8.297747216016317928e-01 9.064064938084281930e-01 9.011744771715406443e-01 6.283754754051407154e-02 3.866078971785111840e-01 1.397627372010687985e-01 2.057506122477964494e-01 9.533316663875421870e-01
0.000000000000000000e+00 -6.701120318460571289e+11 6.555953608503550800e-02 5.840496757402046102e-01 2.815502788394438349e-01 7.351569859327213852e-01 3.462073879035159063e-01 7.841746990563114306e-01 4.378904752052762417e-01 9.708393210996743017e-01 6.672910607340595268e-01 9.549399526709367869e-01 2.927239209691481214e-01 9.886924308221857194e-01
0.000000000000000000e+00 -6.273901239846640625e+11 8.722071483146486282e-01 9.635688921000474805e-01 4.464306639866770787e-01 9.212417246088734357e-01 7.420264259432247655e-01 2.747028268734056367e-01 5.669332169288577861e-01 3.055772982021646156e-01 9.480700190339882427e-01 2.421949022837841525e-01 1.169409290983950411e-01 9.637357072273279313e-01
0.000000000000000000e+00 -3.234860458637775269e+11 9.852625051480341511e-01 2.483545566306476493e-01 7.268575260470955257e-01 5.106170306443851281e-01 9.646240364872544770e-01 9.605369925836315659e-01 4.195701245921715783e-01 5.343687390592594122e-01 8.827969269207905922e-01 4.609754468954291307e-01 6.834152864906883895e-01 9.660662253608780503e-01
0.000000000000000000e+00 -2.209322974864132080e+11 3.789564568075994844e-01 5.664440895213530558e-01 4.815866241287614091e-01 7.728094824601439150e-01 3.166835675260323280e-01 5.334706631154695344e-01 7.375808257341465168e-02 7.809779983941250725e-01 3.334614380871281369e-02 4.228277796527890597e-01 3.741774550240407615e-01 9.706559239491510116e-01
0.000000000000000000e+00 -2.201197929466830139e+11 1.160472702331668549e-01 9.300146137074096764e-01 9.798469814525608834e-01 2.579440583104817275e-01 6.004508219737357821e-01 6.786218421846225146e-01 8.852429950371299983e-01 2.986830867823284663e-01 5.872632943243909498e-01 6.358378543489987544e-01 8.843848628564813241e-01 9.520502144091753660e-01
0.000000000000000000e+00 -2.167618466016550293e+11 7.241300712011099483e-01 4.022755537463140740e-01 6.848181731296594243e-01 7.559420572929631543e-01 9.174119815149760493e-01 2.905867585094493721e-01 6.316960400628232053e-01 2.098743547204529047e-02 2.236847322976041053e-01 5.534989553241002058e-01 1.274355169530160259e-01 9.363303337983361896e-01
0.000000000000000000e+00 -2.052844773933695984e+11 9.749794275691738843e-01 4.441227842346279209e-01 2.211495460489621978e-01 9.220372157442641159e-01 5.899393185094881087e-01 9.912772816794206410e-01 1.326984419227382750e-01 1.107801409441276919e-01 2.993289159920775599e-02 4.771418192914620438e-01 2.552454877312898551e-01 9.415752345614282204e-01
0.000000000000000000e+00 -5.796677407145182800e+10 7.624681058165305725e-01 8.017344188018321605e-01 6.796383447912847098e-01 7.058233601818947323e-01 9.720572766373466456e-01 4.723092021673956920e-01 6.717706768384968941e-01 1.120568646080004616e-01 1.576861929750235092e-01 9.942991221922373724e-01 8.773440980431568281e-02 9.206143618774069726e-01
0.000000000000000000e+00 -4.807035147905577087e+10 6.702757212326009295e-01 6.290999298342592194e-01 2.215320409871245344e-01 9.140435491747298524e-01 7.000609882043193899e-01 2.833572567103554984e-01 5.183206814796903483e-01 1.264166269936264353e-01 6.087796012302694182e-01 8.966214664980883819e-01 6.025604453468696997e-01 9.267270415788282367e-01
0.000000000000000000e+00 -3.947425346073180389e+10 5.874405667574582601e-01 2.262061065783760316e-02 4.649030486976206689e-01 8.156031605196673029e-01 1.382094758621604802e-01 8.132641476184050422e-01 5.603031888188981791e-01 2.177720203903731333e-01 4.663025407350681606e-01 4.728675927352659070e-01 6.443641817954511852e-01 9.294965020321802607e-01
0.000000000000000000e+00 -3.798596802269607544e+10 7.451025888325810698e-01 5.522369038658451190e-01 8.189845504429950074e-01 3.290970081346158427e-01 7.757648429564545367e-02 9.821081132616311660e-01 9.964348600440321446e-01 2.997652108345207900e-01 2.443891062294831773e-01 7.438709302304994386e-01 9.797421727056468965e-01 9.330209210290828503e-01
0.000000000000000000e+00 -3.795844823964298248e+10 7.661220764931361282e-01 1.718882021185030862e-01 5.226653919168987583e-01 6.087102244791159356e-01 9.637956713735074121e-01 5.951638670889830562e-01 2.232141421143561955e-01 5.117822572532753078e-01 3.489922352922922855e-01 9.982483693517721912e-01 4.771840171804480057e-01 1.082694416615054278e-01
0.000000000000000000e+00 -3.143021190420072174e+10 4.483600047789749743e-01 9.250329535470770415e-01 3.967600143394568457e-01 3.996126224916157765e-01 3.099272719892498529e-01 7.646321637334531074e-01 1.777663273484373363e-01 7.732728311230371299e-01 5.936393370856907215e-02 7.701901493692127065e-01 8.965147175317307315e-01 9.492293708326903223e-01
0.000000000000000000e+00 -3.054312729768368149e+10 9.307008150454195716e-01 6.771671879347376244e-01 1.410849897392318919e-02 1.084015355994027985e-01 9.742074785225672828e-01 3.343558188946753607e-01 5.598294054726391522e-01 4.060352720580466812e-01 8.682839967971861528e-01 2.579715365365815583e-01 3.435560862368173263e-01 9.352768432789583253e-01
0.000000000000000000e+00 -2.668198983979084396e+10 2.429170829456966940e-01 6.581765244923731828e-02 2.277932835269297351e-01 7.451383012662919914e-01 2.389858012015004807e-01 9.231295120637528218e-01 9.956360644024478956e-01 5.268230673478513371e-01 6.535619563718354508e-01 1.663804996320261687e-01 5.914017397000390641e-01 9.386899714399882244e-01
0.000000000000000000e+00 -2.208652431148637772e+10 6.499901650209333193e-01 9.241842914429052591e-01 2.254188818417646178e-01 9.904493297255029249e-01 7.733695427506638298e-01 3.368628581567256752e-01 1.270775621726103477e-01 7.728963581524211923e-01 8.826608819215312485e-01 3.123869599004512887e-01 4.641065489047743187e-01 9.453841703305900790e-01
0.000000000000000000e+00 -1.632195554702129555e+10 3.131531185078872959e-01 9.904716267542523767e-02 3.203711768737173005e-01 6.415778021537582587e-01 3.818706660347550574e-01 9.827613092661456884e-01 6.366504358159057464e-01 6.320344563555961859e-01 9.030514179987906287e-01 8.509929762144164966e-01 9.766658841877724484e-01 9.372199524079745103e-01
0.000000000000000000e+00 -1.208967928920886612e+10 8.549751183894861439e-01 1.358904586177528406e-01 6.853536215193829495e-01 2.838912103125834641e-02 9.073056392832995476e-01 4.499177577221658009e-02 5.463410524193376139e-01 9.039908156572674658e-01 1.228439226247475258e-01 9.886989019122026656e-01 4.742907479760706257e-01 6.821865477187946114e-01
0.000000000000000000e+00 -1.154320386262680817e+10 9.519119005886661489e-01 5.457229343707147295e-01 8.771524549377485158e-01 7.126719294462946497e-02 2.131612430405465108e-01 7.914505577445745121e-01 5.325800200379392502e-01 5.197078694171347601e-01 8.756341151939784906e-01 9.250283475466355432e-01 6.341222326789255348e-01 9.293195223125712001e-01
0.000000000000000000e+00 -6.083396710148199081e+09 3.815209960544777568e-01 9.127728526988746482e-01 9.521729967310487153e-01 8.644652576485376549e-01 8.097252115222954849e-01 2.758496774170859922e-01 9.273920507611409514e-01 3.020232396561679522e-01 3.986537359690610627e-01 5.707152306689086130e-01 3.181463451106409934e-01 9.132488245146722639e-01
0.000000000000000000e+00 -4.703861206616308212e+09 1.736723895512838345e-01 9.482643198249777194e-01 4.117309548636094441e-01 6.594993642680866408e-01 8.771721222602335555e-01 5.388895606644980019e-01 9.842203953571643238e-01 2.412762274594646428e-01 8.691947213357121838e-01 1.581183133078769565e-01 3.307150302695910371e-01 9.075737418518274868e-01
0.000000000000000000e+00 -4.595263354395329475e+09 8.780644523827543235e-01 9.696110707776099957e-01 9.829887202049267803e-01 6.522967725637335290e-01 9.811230078640802432e-01 8.914883983719459337e-01 7.651072270923547913e-01 6.681240885371131366e-02 4.405313692294036132e-01 1.718210086329874375e-01 6.536265287012983372e-01 8.976196443431539995e-01
0.000000000000000000e+00 -3.839081577702067852e+09 1.130679738817362834e-01 2.461007061153150932e-01 9.748012547991697918e-01 7.935667960826687795e-01 4.726091775449362542e-01 8.462191621515877671e-01 1.103631035628316326e-02 4.493439218284196457e-01 5.751022489602993781e-01 7.394830260287507118e-01 4.698313118365755603e-01 9.145957236844912686e-01
