#freq res
9.1597 8.9855
9.7125 7.0773
10.1897 7.0629
11.7882 0.9801
11.9467 0.1354
12.0938 -0.5864
12.2608 -1.0478
12.4749 -0.2039
12.6432 0.2091
13.1194 -1.9624
13.1433 -2.1019
13.3996 -0.9953
13.5995 0.8585
13.7347 2.5923
13.8252 2.7565
13.8399 2.8987
13.9420 2.7664
13.9619 2.4230
14.1554 -0.2233
14.2741 -1.5292
14.3940 -1.5935
14.5069 -0.6190
14.5252 0.1554
14.5383 0.6656
14.5522 1.1580
14.6041 1.0471
14.6131 0.9544
14.6156 1.0675
14.6918 1.4438
14.6973 1.6267
14.6993 1.0627
14.7559 0.1570
14.7978 -0.1731
14.8035 -0.0909
14.8168 -0.0907
14.8513 -0.4820
14.9080 -0.5432
14.9390 -0.1465
14.9491 0.0309
14.9497 -0.0391
15.0660 0.2197
15.1283 0.1170
15.1371 0.0332
15.1729 -0.8924
15.3100 3.1324
17.2781 9.9997
17.5763 9.9996
17.9052 9.9989
18.2343 9.9968
