metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.211246800291695846e+00 3.385788815690006004e+00 9.712758547476717297e+00 7.659796289365685684e-01 2.544222985381744451e+01 3.370597803036669976e-02 9.803405207284886513e-01 5.857190718147489358e-03 8.299562525387607081e+00 6.628340120520235246e+00 6.869800579902268112e+00 4.555145982504418711e+00
1.702065556496357823e+00 8.840877400318246870e+00 8.391062136753500766e+00 7.999540115593934964e-01 2.444716077421170297e+01 2.693940590409588456e-02 1.536998210974305223e+00 1.840849033565068564e-03 7.566844881788277632e+00 6.654986362325388427e+00 6.865281603311633063e+00 4.536716082516608850e+00
1.915674788455171029e+00 6.805055256966301869e+00 8.388190091228672429e+00 7.485791751837893582e-01 2.546245020546151494e+01 4.506049021803482796e-02 1.939999439952787563e+00 4.785311645866171734e-03 7.518580067291537716e+00 6.587020368194952624e+00 6.846380682803236084e+00 4.550610999050233474e+00
1.807580320991748479e+00 1.156496594816624857e+01 7.170746936284061235e+00 7.752321775460162545e-01 2.400720785817451741e+01 1.842144002310423107e-02 1.868050831533501599e+00 1.430601334760329794e-02 6.878367106751507976e+00 6.660374690174542422e+00 6.867612562716203684e+00 4.549346852206630487e+00
1.827978666405417618e+00 2.060380125198675305e+00 7.637996014630802577e+00 7.748666939214785554e-01 2.425693272065626616e+01 4.936543481723496690e-02 4.543374062680074488e+00 8.707119643631565722e-03 7.112945292460853608e+00 6.610595623341204430e+00 6.850894209208991725e+00 4.554581940812052920e+00
1.714345313123257109e+00 1.076416687448669762e+01 9.228224722336459962e+00 7.230522666261191000e-01 2.452125843615824863e+01 3.572418120323064827e-02 7.680457424573561287e-02 1.019290946989537261e-02 7.857977523315188506e+00 6.629528772943015014e+00 6.868069534535067078e+00 4.573565340916093902e+00
1.608870334141080161e+00 1.203025550628188256e+01 8.211455477043539730e+00 7.857603936991136573e-01 2.474169516217197540e+01 7.435766247961882701e-03 1.132529470609914668e+01 5.907608925021754463e-03 7.458589906047571105e+00 6.607305189241003518e+00 6.859678452161588780e+00 4.568968365678768961e+00
1.632073046886135970e+00 8.626153515889582124e+00 9.199644316353341011e+00 6.480706284312159893e-01 2.574929473100718269e+01 6.017983693719604517e-03 5.137987865735472309e-02 5.176466637040468347e-03 7.873509534766206741e+00 6.538585156400827714e+00 6.850966818361360566e+00 4.555842986492661950e+00
1.770467090902391183e+00 7.731464056731071288e+00 8.224605267569227607e+00 7.198029182087877231e-01 2.508871612661598149e+01 2.227079907262101074e-02 4.573566910929643292e+00 4.521922013501586401e-03 7.447114810026580045e+00 6.603643419449014118e+00 6.869326493355384144e+00 4.520394392264195815e+00
9.998561085286792327e-01 7.115059006502127970e-01 9.919876717271041144e+00 5.932466623921801574e-01 2.454048293188450458e+01 3.989258942508321255e-03 1.115965070017531957e+01 1.169052498423124066e-02 8.537321437280979808e+00 6.614934528911430078e+00 6.893752272469548359e+00 4.569244279247904217e+00
