# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
0.4557 11.3815 12.6503 0.0646 38.2926 0.0091 40.2883 0.1798 7.3144 4.6872 6.8795 4.1806 10.0108 0.8584 43.9259 43.6869 44.2417 43.5579 0.5737 44.1519 44.2939 0.5216 42.6160 42.7972 0.6028 43.7433 43.0490 3.2715 -267.4884 -306.7364
0.5564 3.4855 12.5776 0.0869 20.7976 0.0318 36.7449 0.1186 7.5214 5.8568 6.8858 4.1614 9.8500 1.2125 42.9790 43.7539 44.2703 43.4884 0.6483 44.1494 44.3107 0.9095 42.5693 42.8471 0.6546 43.7532 42.3727 0.3697 -267.6246 -299.7022
0.6880 11.4683 11.3437 0.0909 41.3402 0.0035 8.9658 0.1446 7.3596 5.6812 6.7000 4.1277 10.0066 0.7466 44.1407 43.7754 44.2004 43.4264 0.6907 44.0926 44.2770 0.3513 42.5587 42.8242 0.6483 43.6723 43.3881 5.3648 -271.6301 -305.1529
0.8823 10.7830 9.8567 0.1735 41.7672 0.0023 31.0884 0.1490 7.3519 5.2329 6.7966 4.1768 9.9611 1.0347 43.1851 43.7513 44.2587 43.4465 0.6686 44.1495 44.3097 0.8565 42.5655 42.8403 0.6531 43.7409 42.3124 0.5943 -270.5843 -298.9687
0.6966 10.5302 12.1590 0.0730 41.8290 0.0011 10.6789 0.1858 7.3316 5.6794 6.7251 4.1805 9.7679 1.5608 44.0933 43.6686 44.2399 43.5987 0.5401 44.1098 44.2591 0.3878 42.6559 42.7860 0.5743 43.6897 43.2742 4.8096 -267.3353 -299.2679
0.2854 5.9253 8.8770 0.3382 36.0110 0.0491 42.4361 0.1174 6.9920 4.5593 6.8772 4.0234 9.9155 0.9862 44.1671 43.7364 44.2625 43.4838 0.6414 44.1047 44.2750 0.3456 42.5664 42.8339 0.6493 43.6847 43.2881 5.7012 -282.0443 -298.9140
0.4150 12.9668 11.1534 0.1081 35.8860 0.0012 44.7670 0.1548 7.3833 5.3500 6.8558 4.1363 9.8772 0.8227 43.5277 43.7080 44.2428 43.5167 0.6084 44.1246 44.2801 0.7192 42.5980 42.8095 0.6194 43.7160 42.8715 1.3078 -270.5506 -298.9253
0.5645 12.1520 8.7592 0.3382 25.7862 0.0277 44.4813 0.1378 6.8982 5.5636 6.8841 4.0699 9.9855 0.8222 43.9356 43.6632 44.2054 43.5850 0.5449 44.1209 44.2647 0.4830 42.6529 42.7680 0.5659 43.7008 43.0571 3.3455 -278.3412 -299.0341
0.5108 1.1634 9.0605 0.3646 18.7681 0.0143 36.1777 0.1720 7.0752 5.9426 6.8491 4.2450 10.0143 0.7599 43.8549 43.7161 44.2382 43.5457 0.5969 44.1142 44.2749 0.5407 42.6205 42.8119 0.6084 43.7057 42.9926 2.7782 -271.6942 -299.1870
0.6452 8.4146 9.4678 0.1926 41.5102 0.0003 29.4068 0.1598 7.0954 5.6038 6.7761 4.1535 9.9662 1.1084 44.0522 43.6934 44.2046 43.5834 0.5630 44.1204 44.2721 0.4312 42.6903 42.7842 0.5538 43.7118 43.1518 4.3759 -271.5670 -299.0027
0.9834 11.3804 9.8893 0.1578 35.1871 0.0143 44.1063 0.1252 7.3400 5.7477 6.8472 4.0947 10.0053 1.0462 44.0115 43.7082 44.2406 43.5153 0.6093 44.1171 44.2749 0.4435 42.6001 42.8086 0.6178 43.7012 43.1378 3.9839 -268.0022 -299.9111
0.7378 11.7922 10.1557 0.0545 41.1244 0.0012 32.4971 0.1817 7.3344 5.5734 6.7776 4.2002 10.1415 1.0030 43.0472 43.7226 44.2224 43.5231 0.6129 44.1388 44.2933 0.8934 42.6085 42.8081 0.6129 43.7425 42.2997 0.4325 -274.3895 -299.1701
0.2334 13.0280 11.9972 0.1342 38.6771 0.0048 36.1102 0.1632 7.3631 4.9344 6.8354 4.1849 9.9227 0.9878 43.4604 43.7146 44.1993 43.5049 0.6184 44.1673 44.3108 0.7855 42.5781 42.7930 0.6212 43.7861 42.4720 1.1200 -268.7727 -304.1917
