logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.696043974779458750e+14 -4.696043974779518750e+14 1.385000000000000009e+00
-4.696043974779518750e+14 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.995182329788982812e+13 -6.995182329789582031e+13 3.300000000000000155e-01
-6.995182329789582031e+13 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.134332852085450781e+13 -4.134332852086050781e+13 6.049999999999999822e-01
-4.134332852086050781e+13 1.183651065039322500e+14 -7.499999999999999722e-03 4.000000000000000000e+02 -1.608327171522314453e+13 -1.608327171522914453e+13 6.949999999999999512e-01
-1.608327171522914453e+13 1.221336480722200156e+14 -1.000000000000000021e-02 4.000000000000000000e+02 -1.454744856946776367e+13 -1.454744856947376562e+13 5.050000000000000044e-01
-1.454744856947376562e+13 7.350723287447110352e+12 -1.250000000000000069e-02 4.000000000000000000e+02 -1.170408753090312891e+13 -1.170408753090913477e+13 1.400000000000000133e-01
-1.170408753090913477e+13 8.074942576596487305e+12 -1.500000000000000118e-02 4.000000000000000000e+02 -1.155112063757154297e+13 -1.155112063757755078e+13 1.139999999999999902e+00
-1.155112063757755078e+13 8.226638323676583984e+12 -1.750000000000000167e-02 4.000000000000000000e+02 -9.730837780666093750e+12 -9.730837780672103516e+12 1.014999999999999902e+00
-9.730837780672103516e+12 5.030996040559274292e+11 -2.000000000000000042e-02 4.000000000000000000e+02 -8.883782168044613281e+12 -8.883782168050626953e+12 1.625000000000000000e+00
-8.883782168050626953e+12 3.667858394740233154e+11 -2.249999999999999917e-02 4.000000000000000000e+02 -7.130620134732194336e+12 -7.130620134738209961e+12 1.590000000000000080e+00
-7.130620134738209961e+12 9.727470219988679199e+11 -2.499999999999999792e-02 4.000000000000000000e+02 -5.557955722499957031e+12 -5.557955722505974609e+12 8.000000000000000167e-02
-5.557955722505974609e+12 1.260634283831801270e+12 -2.749999999999999667e-02 4.000000000000000000e+02 -4.698535799812654297e+12 -4.698535799818674805e+12 1.294999999999999929e+00
-4.698535799818674805e+12 6.799350933447557373e+11 -2.999999999999999542e-02 4.000000000000000000e+02 -4.239789752219092285e+12 -4.239789752225115234e+12 1.090000000000000080e+00
-4.239789752225115234e+12 4.799948179244431152e+11 -3.249999999999999417e-02 4.000000000000000000e+02 -1.970793538365683105e+12 -1.970793538371708252e+12 2.700000000000000178e-01
-1.970793538371708252e+12 8.456049624780430908e+11 -3.499999999999999639e-02 4.000000000000000000e+02 -1.930897781365394775e+12 -1.930897781371422607e+12 3.150000000000000022e-01
-1.930897781371422607e+12 6.363097653676431885e+11 -3.749999999999999861e-02 4.000000000000000000e+02 -1.886973618647052490e+12 -1.886973618653082764e+12 1.310000000000000053e+00
-1.886973618653082764e+12 2.738523944687284851e+10 -4.000000000000000083e-02 4.000000000000000000e+02 -1.610487733934028564e+12 -1.610487733940061279e+12 4.050000000000000266e-01
-1.610487733940061279e+12 1.531820664044056091e+11 -4.250000000000000305e-02 4.000000000000000000e+02 -1.371390193349527832e+12 -1.371390193355562988e+12 1.064999999999999947e+00
-1.371390193355562988e+12 2.240445370405523071e+11 -4.500000000000000527e-02 4.000000000000000000e+02 -1.114804034072585938e+12 -1.114804034078623535e+12 5.600000000000000533e-01
-1.114804034078623535e+12 9.562401570528178406e+10 -4.750000000000000749e-02 4.000000000000000000e+02 -8.678186588348778076e+11 -8.678186588409179688e+11 1.639999999999999902e+00
-8.678186588409179688e+11 1.600830146698858337e+11 -5.000000000000000971e-02 4.000000000000000000e+02 -6.083369617363798828e+11 -6.083369617424226074e+11 1.155000000000000027e+00
-6.083369617424226074e+11 1.635333494008135986e+11 -5.250000000000001193e-02 4.000000000000000000e+02 -5.828533176517474365e+11 -5.828533176577926025e+11 1.350000000000000089e-01
-5.828533176577926025e+11 1.449382096699999084e+11 -5.500000000000001416e-02 4.000000000000000000e+02 -2.938903638353872070e+11 -2.938903638414349365e+11 9.399999999999999467e-01
-2.938903638414349365e+11 2.406869741430705872e+11 -5.750000000000001638e-02 4.000000000000000000e+02 -2.341104151552837219e+11 -2.341104151613339233e+11 1.645000000000000018e+00
-2.341104151613339233e+11 2.450272256250995178e+11 -6.000000000000001860e-02 4.000000000000000000e+02 -2.192796149277113647e+11 -2.192796149337640686e+11 1.549999999999999989e-01
-2.192796149337640686e+11 2.065604685957332993e+10 -6.250000000000001388e-02 4.000000000000000000e+02 -1.977462647854797058e+11 -1.977462647915349121e+11 8.199999999999999512e-01
-1.977462647915349121e+11 1.246303239181948662e+10 -6.500000000000001610e-02 4.000000000000000000e+02 -1.902138231086313477e+11 -1.902138231146890564e+11 1.020000000000000018e+00
-1.902138231146890564e+11 1.003587182929019737e+10 -6.750000000000001832e-02 4.000000000000000000e+02 -1.660513301877586670e+11 -1.660513301938188782e+11 1.155000000000000027e+00
-1.660513301938188782e+11 1.168553962214525032e+10 -7.000000000000002054e-02 4.000000000000000000e+02 -1.510875883383192749e+11 -1.510875883443819885e+11 9.000000000000000222e-01
-1.510875883443819885e+11 1.159870139241505051e+10 -7.250000000000002276e-02 4.000000000000000000e+02 -1.411916326428056641e+11 -1.411916326488708801e+11 1.570000000000000062e+00
-1.411916326488708801e+11 1.420410256610887909e+10 -7.500000000000002498e-02 4.000000000000000000e+02 -1.385101376095594177e+11 -1.385101376156271362e+11 9.150000000000000355e-01
-1.385101376156271362e+11 7.386567675240603447e+09 -7.750000000000002720e-02 4.000000000000000000e+02 -1.352902864716408844e+11 -1.352902864777111053e+11 8.999999999999999667e-02
-1.352902864777111053e+11 8.489802452842077255e+09 -8.000000000000002942e-02 4.000000000000000000e+02 -9.185334102426016235e+10 -9.185334103033287048e+10 1.905000000000000027e+00
-9.185334103033287048e+10 2.408683404790187073e+10 -8.250000000000003164e-02 4.000000000000000000e+02 -8.244655659121282959e+10 -8.244655659728804016e+10 5.500000000000000028e-02
-8.244655659728804016e+10 1.951391970722113037e+10 -8.500000000000003386e-02 4.000000000000000000e+02 -7.950239169058656311e+10 -7.950239169666427612e+10 5.400000000000000355e-01
