weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -4.696043974779458750e+14 1.154083806926308409e+00 5.368277998862813760e+00 8.438936863034189884e+00 6.079639583294974559e-01 1.730532583700989591e+01 5.278270473058140067e-02 6.903844397079265605e+01 1.896694583797731148e-02 6.985409191987031363e+00 5.370402718955212151e+00 -7.192200690916184413e+00 9.835997287686755186e+00
0.000000000000000000e+00 -6.995182329788982812e+13 1.253305782425822690e+00 4.665577315414328297e+00 9.225027043760587020e+00 6.677324538195315018e-01 4.018032209128649157e+01 1.502731436275070442e-02 7.829572324741877765e+01 2.322969111515501561e-01 3.141674071214595187e-02 4.157798920341470250e+00 2.297362747444450903e+00 9.884400852782750491e+00
0.000000000000000000e+00 -4.134332852085450781e+13 7.569790699536076417e-01 5.781307657929758648e+00 8.652480653241910957e+00 2.096846133530016476e-01 3.330656809561411080e+01 3.357533925598589486e-02 7.761269450773036738e+01 3.225545286778465082e-01 -9.670778393795655958e+00 -2.082281642442413983e-01 -4.828685957021370712e+00 9.897962440808917961e+00
0.000000000000000000e+00 -1.608327171522314453e+13 6.507810390995832917e-01 6.251404467452347902e+00 7.554355494785466973e+00 4.882683811795879292e-01 2.948595868295240763e+01 4.146016050398819430e-03 2.286384917588446797e+01 5.280539941714429419e-01 -3.269595699762859908e+00 5.376929534442492553e+00 4.111542528436881838e+00 9.914900235984955401e+00
0.000000000000000000e+00 -1.454744856946776367e+13 1.424847665304760813e+00 3.991863056901859164e+00 9.379596888674928579e+00 7.626394683490524129e-02 2.122478352619013009e+01 3.560411916448627534e-02 6.133777064226390507e+01 2.066053902121511854e-01 3.437836702081728646e+00 8.907158612085023464e+00 8.603432573188825927e+00 9.501717246524037819e+00
0.000000000000000000e+00 -1.170408753090312891e+13 6.830791636813662304e-01 8.332654986603630576e+00 1.308380383358805688e+01 5.068414502582841985e-01 3.659666525805258885e+01 2.975050178513050786e-02 5.867129443324983384e+01 3.831371516918868902e-02 -5.344334037947094274e+00 7.095686759599892923e+00 4.002059706516128301e+00 9.089800394613828161e+00
0.000000000000000000e+00 -1.155112063757154297e+13 1.504803585299016921e+00 8.359636973020506900e+00 1.219202483707390527e+01 7.508299843682586516e-01 3.063937156287805408e+01 6.838049593277497999e-03 7.281922143715520690e+01 1.915572898291062476e-01 -6.228770415310220798e+00 4.528717931614728798e+00 6.789086653631006385e+00 9.425886381293938854e+00
0.000000000000000000e+00 -9.730837780666093750e+12 1.775908343226687558e+00 6.982322267881609257e+00 1.235194388516704755e+01 5.351200926208422859e-02 3.824163889309595987e+01 1.456182657832496077e-02 4.111318908134082051e+01 1.696380286050285235e-01 -8.244973202911847210e-01 -5.890169707511443420e+00 -7.773631832177436252e+00 9.349184321283157573e+00
0.000000000000000000e+00 -8.883782168044613281e+12 1.093125360347278807e+00 1.119709995314105200e+01 8.222009786226356809e+00 9.938636136093027817e-02 3.246022601604364866e+01 1.844960804446714800e-02 3.743660409612355267e+01 3.389852423780774782e-01 -7.786087085629935345e+00 -4.461144045091640642e+00 -1.277409465289460755e+00 9.584782031257965684e+00
0.000000000000000000e+00 -7.130620134732194336e+12 8.913209722493309339e-01 8.290108251669753514e+00 7.634247101051233386e+00 3.036472400536269212e-01 2.978385107028717727e+01 2.960407966365208310e-02 7.845703309760617117e+01 2.020775470525996154e-01 -5.455241838287956391e+00 -5.858198607891544896e+00 2.602721591978864879e+00 9.339251367545966076e+00
