weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -4.696043974779458750e+14 5.300465594035046468e-01 4.054424831531159290e-01 2.333202004960893694e-01 7.439519444393298819e-01 1.103811133892438345e-01 9.774574950107665083e-01 7.670938218976961487e-01 1.896694583797731148e-02 8.492704595993515460e-01 7.685201359477605854e-01 1.403899654541908015e-01 9.917998643843377593e-01
0.000000000000000000e+00 -6.995182329788982812e+13 5.851698791254570375e-01 3.518716261818057855e-01 3.607828594124398158e-01 8.236432717593752395e-01 9.344466007344195413e-01 2.782835993101981931e-01 8.699524805268752381e-01 2.322969111515501561e-01 5.015708370356073420e-01 7.078899460170735569e-01 6.148681373722225674e-01 9.942200426391375467e-01
0.000000000000000000e+00 -4.134332852085450781e+13 3.094328166408931713e-01 4.369300756828397025e-01 2.679458197473049141e-01 2.129128178040021746e-01 6.868214919313693212e-01 6.217655417775165283e-01 8.623632723081151585e-01 3.225545286778465082e-01 1.646108031021720208e-02 4.895885917877879079e-01 2.585657021489314866e-01 9.948981220404459203e-01
0.000000000000000000e+00 -1.608327171522314453e+13 2.504339106108796065e-01 4.727682206267389553e-01 8.988742905419666585e-02 5.843578415727839204e-01 5.491850821762412904e-01 7.677807500738553781e-02 2.540427686209385527e-01 5.280539941714429419e-01 3.365202150118570268e-01 7.688464767221245832e-01 7.055771264218441141e-01 9.957450117992477923e-01
0.000000000000000000e+00 -1.454744856946776367e+13 6.804709251693116245e-01 3.005105687182126895e-01 3.858459932667057668e-01 3.501859577987365135e-02 2.515785052864889515e-01 6.593355400830791524e-01 6.815307849140433971e-01 2.066053902121511854e-01 6.718918351040864545e-01 9.453579306042511066e-01 9.301716286594413630e-01 9.750858623262019798e-01
0.000000000000000000e+00 -1.170408753090312891e+13 2.683773131563145231e-01 6.314337470864012092e-01 9.864743663863694279e-01 6.091219336777122795e-01 8.053463428839006122e-01 5.509352182431574985e-01 6.519032714805537143e-01 3.831371516918868902e-02 2.327832981026453085e-01 8.547843379799946462e-01 7.001029853258063929e-01 9.544900197306913636e-01
0.000000000000000000e+00 -1.155112063757154297e+13 7.248908807216760675e-01 6.334907368818953888e-01 8.418745165874420566e-01 9.344399791576781800e-01 5.907364658984761707e-01 1.266305480236573633e-01 8.091024604128356223e-01 1.915572898291062476e-01 1.885614792344889601e-01 7.264358965807364843e-01 8.394543326815503415e-01 9.712943190646968761e-01
0.000000000000000000e+00 -9.730837780666093750e+12 8.755046351259375692e-01 5.284902283988448524e-01 8.678050110537230966e-01 4.682679016112301085e-03 8.646060684446665867e-01 2.696634551541658986e-01 4.568132120148979958e-01 1.696380286050285235e-01 4.587751339854407862e-01 2.054915146244278290e-01 1.113184083911281652e-01 9.674592160641578564e-01
0.000000000000000000e+00 -8.883782168044613281e+12 4.961807557484881892e-01 8.498066264914844181e-01 1.981459893447333753e-01 6.584848181457370053e-02 6.563322498563428642e-01 3.416594082308730407e-01 4.159622677347061259e-01 3.389852423780774782e-01 1.106956457185032106e-01 2.769427977454179679e-01 4.361295267355269623e-01 9.792391015628982842e-01
0.000000000000000000e+00 -7.130620134732194336e+12 3.840672068051838028e-01 6.281901682690965716e-01 1.028416635802186230e-01 3.381963200715025764e-01 5.599165740032422400e-01 5.482236974750385183e-01 8.717448121956241636e-01 2.020775470525996154e-01 2.272379080856021805e-01 2.070900696054227552e-01 6.301360795989432440e-01 9.669625683772983260e-01
