# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
0.8273 8.9487 7.7241 0.7918 26.6054 0.0219 31.4734 0.0863 6.6078 4.5396 6.4748 3.9253 9.9942 15.3866 42.4916 43.8448 44.1698 43.2293 0.8049 43.9804 44.2330 0.9544 42.2934 42.8399 0.7788 43.5841 41.7210 0.1203 -25.7979 -57.2361
1.6330 5.5820 8.2605 0.7976 30.3720 0.0334 46.3540 0.1115 6.7845 4.6130 6.5660 4.0043 10.1276 7.4409 42.0290 43.9670 44.1755 43.1646 0.8638 44.0252 44.3103 0.9854 42.1663 42.8939 0.8423 43.6290 40.9441 0.0415 -24.0859 -51.3497
1.9261 7.2503 8.4363 0.5838 37.5916 0.0242 17.8203 0.1386 6.8127 3.9577 6.4778 3.9198 9.6613 23.4097 42.3755 43.8877 44.1900 43.1836 0.8350 44.0226 44.2749 0.9679 42.1661 42.8700 0.8349 43.6264 41.6250 0.0921 -27.2096 -52.6479
1.7239 1.9710 7.3380 0.7188 38.9865 0.0154 63.8513 0.1199 6.2417 4.0169 6.6179 4.0010 10.0665 11.8712 42.2188 43.9842 44.2011 43.0951 0.8857 43.9937 44.3031 0.9759 41.9792 42.9162 0.8964 43.5975 41.3754 0.0642 -23.9628 -51.4250
1.7708 12.1538 9.2383 0.6776 28.6370 0.0451 48.3311 0.0493 7.2320 4.2999 6.5449 3.9192 10.4614 3.1114 42.3878 43.8720 44.2041 43.2684 0.8006 44.0002 44.2562 0.9672 42.3367 42.8711 0.7739 43.6190 41.6730 0.0948 -24.7378 -51.6198
1.6341 11.7300 7.8883 0.7531 40.8756 0.0157 32.2027 0.2233 6.5326 4.2233 6.4709 4.1326 9.8867 20.0021 42.6607 43.8804 44.2628 43.1652 0.8385 44.0019 44.2627 0.9371 42.1912 42.9070 0.8386 43.6057 41.8920 0.1776 -24.3180 -51.2254
1.9011 4.6989 10.2819 0.3474 15.2605 0.0318 31.4239 0.1298 7.5806 6.0635 6.5404 3.9625 10.0302 12.6347 41.9785 43.8746 44.2421 43.1834 0.8308 43.9916 44.2539 0.9859 42.2231 42.8931 0.8239 43.5954 41.1084 0.0369 -31.1190 -51.2291
1.5101 12.4233 8.2415 0.7805 40.4345 0.0537 37.5258 0.1752 6.7681 3.3186 6.5135 4.0853 9.3043 40.4966 42.7348 43.9546 44.2103 43.1511 0.8641 44.0403 44.3136 0.9290 42.1172 42.9098 0.8612 43.6317 42.0200 0.2107 -29.3884 -51.2289
0.8711 7.0036 10.8876 0.6960 35.3537 0.0443 41.7224 0.1879 7.6816 4.3578 6.5594 4.1296 9.9424 15.9156 42.1117 43.7667 44.3451 43.1315 0.8119 44.0029 44.2225 0.9814 42.1725 42.8870 0.8383 43.6066 41.3823 0.0502 -29.8929 -51.2185
0.8259 13.0142 9.5400 0.7755 18.7469 0.0303 39.2208 0.0655 7.4531 5.1623 6.5196 3.9487 10.6858 0.0043 41.8909 43.8653 44.3283 42.9787 0.8851 44.0064 44.2612 0.9895 41.6156 42.9331 0.9541 43.6252 41.0047 0.0302 -29.7146 -51.2598
0.4519 1.9643 12.6131 0.7873 28.3702 0.0408 35.6678 0.1045 7.9478 4.9286 6.5314 3.9870 10.1761 4.9154 42.4336 43.8628 44.2388 43.1468 0.8387 43.9503 44.2264 0.9594 41.9488 42.8859 0.8964 43.5691 41.6653 0.1053 -28.0495 -51.2517
0.3967 4.3685 12.7060 0.7790 36.1215 0.0347 36.9814 0.1555 7.8563 4.1661 6.5096 4.0382 9.2531 36.0751 43.2977 43.8885 44.2923 43.1421 0.8480 44.0173 44.2755 0.7726 42.0808 42.9264 0.8751 43.6087 42.5026 0.7701 -24.1986 -55.7805
1.8870 7.6538 8.0981 0.6731 38.1022 0.0255 43.6295 0.0452 6.6540 4.1457 6.5222 3.8675 9.2523 68.8495 41.9714 43.9025 44.1605 43.1952 0.8360 43.9890 44.2620 0.9860 42.2334 42.8591 0.8086 43.5928 41.3545 0.0363 -23.7345 -53.8371
0.6230 7.2330 9.6999 0.6943 28.0404 0.0094 42.1364 0.0184 7.5355 4.3732 6.5409 3.8560 8.9298 65.5294 41.9681 43.8938 44.0955 43.2492 0.8152 44.0148 44.2707 0.9863 42.1952 42.8166 0.8070 43.6062 41.2655 0.0361 -27.0095 -55.1632
0.7181 10.2121 7.2727 0.7857 17.1544 0.0404 39.1890 0.0137 6.4553 5.5886 6.5273 3.7856 9.9280 10.8140 42.3037 43.9471 44.1646 43.2265 0.8402 43.9931 44.2844 0.9708 42.2812 42.8795 0.7986 43.5969 41.3553 0.0781 -25.3964 -52.2279
1.9442 10.1525 8.4363 0.7075 37.4307 0.0272 50.3386 0.0906 6.9089 4.3601 6.5443 3.8924 10.5721 1.5728 42.9727 43.9368 44.1699 43.1751 0.8525 44.0407 44.3051 0.8881 42.1378 42.8786 0.8463 43.6445 42.2850 0.3643 -25.4612 -55.2923
