metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.968900291291084459e+00 1.377295707738285246e+00 8.017044902594490097e+00 5.577265486354120450e-01 3.855848615498032217e+01 2.434344398409390986e-02 2.953957898523961134e+01 1.202784686201854164e-02 6.518463287898988767e+00 4.096573812053874164e+00 6.478767923585259325e+00 3.751743352404295351e+00
1.622267226144671337e+00 6.808460624803990946e+00 7.341301310067488650e+00 6.911797882258333692e-01 2.968904395401398233e+01 1.423062630441853001e-02 3.634340547713539138e+01 6.980882499137792963e-02 6.222010029670702380e+00 4.354138127356968369e+00 6.493778170430935859e+00 3.907635837156069769e+00
1.766045761033392614e+00 4.348415162561233949e+00 7.462499767351863156e+00 6.185288723735382632e-01 3.982204444212108996e+01 2.617840583126460410e-02 4.344717597240033768e+01 1.069636327817217319e-01 6.268216345958759206e+00 3.667037261330442277e+00 6.497971475987707635e+00 3.951256252523112522e+00
1.745593466182941755e+00 1.383073023440407612e+00 8.743856724362238708e+00 6.300783096303144148e-01 2.600303683495914697e+01 1.905866950577533511e-02 3.471300953075068918e+01 1.008654944186523905e-01 6.986579389282020713e+00 4.705251641091283688e+00 6.463849937052678740e+00 3.944044259328471469e+00
1.316880781530589850e+00 5.948730342833424167e+00 9.959281065895549290e+00 6.685057966560129517e-01 3.993538654784968145e+01 3.968664536469839604e-02 3.663157147034399230e+01 1.106281343876867052e-01 7.805422907037542046e+00 3.655199732215292485e+00 6.518605261561308595e+00 3.974105680575485522e+00
1.811467105724895221e+00 7.616715132988493231e+00 1.053359485664674722e+01 7.071771598250715662e-01 3.809827108538029705e+01 4.038700222449394944e-02 5.287445183901073875e+01 2.562729560431903919e-01 7.680383293793425992e+00 4.185396279285605203e+00 6.602940545620892721e+00 4.194269992515486933e+00
3.320154029310533605e-01 2.749161837307743661e-01 1.076147564749693863e+01 7.724961203980225122e-01 1.837380172086149344e+01 4.295351295844261619e-02 3.631798001547277721e+01 1.231772743350766364e-01 8.022903370655185995e+00 5.188822511606204557e+00 6.510894592524977043e+00 4.043456949875178452e+00
1.741762282700688003e+00 1.265724020278831574e+01 7.790516722737458544e+00 6.760354095448515288e-01 3.516289601893601713e+01 5.588659782574679699e-03 3.889998704218685788e+01 1.247089357782513175e-01 6.509566301943522149e+00 4.017464873928968672e+00 6.485167593133688513e+00 3.952150039163530693e+00
3.156838648918182111e-01 3.945658691812242491e+00 8.243093509112309647e+00 7.623602584311752750e-01 4.057916519112969667e+01 5.266313544707794392e-02 3.730031619984946190e+01 4.590213773938600639e-02 6.899744926195108263e+00 3.624258792870493906e+00 6.542046470214518905e+00 3.822071538499988819e+00
1.966377564992661142e+00 2.987022933581017892e+00 1.113175323703372399e+01 5.215826510823088347e-01 1.681675760452740676e+01 1.500418783042855794e-02 3.806237005666488216e+01 9.494606913508338297e-02 7.799545057875775456e+00 5.448875656389979838e+00 6.517631751065138701e+00 3.974485118566535746e+00
1.980660319184786022e+00 4.684012896406954951e+00 9.731315391261636805e+00 5.928415250852848706e-01 1.688575118124466101e+01 1.824195860924122600e-02 2.964974694593557203e+01 1.083997662653814753e-01 7.433975085042497710e+00 5.498007824033024349e+00 6.503188853592384078e+00 4.016673031688561935e+00
1.739391730530503111e+00 3.006457112980757351e+00 7.743626064425338740e+00 5.867590421266650758e-01 3.434416388727294134e+01 2.104434883954185709e-02 2.601830744966667552e+01 8.296646172303333289e-02 6.415452941576333501e+00 4.164056754761469747e+00 6.513842609161535790e+00 3.862152629769939338e+00
4.347841390403479056e-01 9.268722205414714921e+00 1.198706169216230322e+01 5.905075866833784382e-01 2.561230358251843597e+01 4.388631018994713223e-02 4.901197818461981370e+01 5.074165148070554354e-02 7.659188504375087803e+00 5.129137588660995561e+00 6.601069517692518929e+00 3.886098971379263745e+00
1.667460993653021362e+00 6.202256099217845708e+00 1.155282084950766119e+01 7.997987590072119790e-01 4.046294026053284654e+01 1.975878625203774178e-02 4.769906672377754120e+01 1.433866585303165408e-01 7.773825374103729757e+00 3.977547634563601164e+00 6.518069661098831347e+00 4.079710306773804973e+00
1.649563095521970668e+00 8.138410059955402120e-01 8.760636033560416536e+00 6.418855590963734592e-01 2.361926124753967926e+01 2.606068586876005011e-02 3.496752307830902851e+01 7.303004736412843645e-02 7.036603442100812345e+00 4.964499329544107553e+00 6.479002958798247391e+00 3.875884234447251941e+00
1.897861557937950749e+00 7.851734218248447306e+00 7.005551057519731728e+00 5.824904943174773475e-01 2.973784967182720251e+01 5.126953146824042573e-02 2.018295413690242412e+01 5.772146706528367283e-02 6.153946894385487809e+00 5.020387210573154846e+00 6.417985251245891476e+00 3.735784148678305883e+00
8.449252301003142840e-01 1.246565021309314858e+01 1.165568201767085554e+01 7.498803746658838643e-01 3.302839027281955708e+01 5.324739046953755328e-02 3.762779186628032591e+01 1.668918079462810289e-01 7.673977915842737474e+00 4.397338171401623086e+00 6.520589337358519089e+00 4.085295172922432272e+00
1.426416194359091838e+00 1.117092142225178542e+01 1.100961360115111454e+01 5.709933949161705158e-01 4.191893409904943013e+01 4.485244101980730841e-02 3.661072096850180202e+01 9.296604051630311116e-02 7.681690570222809100e+00 3.857932997757757221e+00 6.541204014989659754e+00 3.918526562126071866e+00
1.888134804818195844e+00 8.996795476256133739e+00 7.185808086677872630e+00 7.196077307242130239e-01 3.394720388416303081e+01 4.272899214028653969e-02 2.675336143623663787e+01 1.309173047646921551e-01 6.215887214263450034e+00 4.691633143846187792e+00 6.448954332127335931e+00 3.931252688672275397e+00
