#freq res
9.1984 5.9140
9.7512 8.9388
10.2284 3.9618
11.8269 0.1162
11.9854 0.7687
12.1325 0.7398
12.2995 -0.0213
12.5136 -0.0552
12.6819 1.1856
13.1581 0.3997
13.1820 0.1714
13.4383 -3.3496
13.6382 -1.2714
13.7734 0.4004
13.8639 0.8339
13.8786 1.0653
13.9807 1.3126
14.0006 1.1794
14.1941 1.1357
14.3128 0.1506
14.4327 -0.0277
14.5456 0.1666
14.5639 -0.1649
14.5770 -0.6092
14.5909 -0.7594
14.6428 0.9633
14.6518 1.3632
14.6543 1.4604
14.7305 -0.4752
14.7360 -0.4589
14.7380 -0.5512
14.7946 -0.3542
14.8365 -1.0748
14.8422 -1.0298
14.8555 -1.1177
14.8900 -0.8026
14.9467 -0.2647
14.9777 -0.2046
14.9878 -0.1469
14.9884 -0.4497
15.1047 -1.8213
15.1670 -0.3134
15.1758 0.2156
15.2116 1.1017
15.3487 3.7207
17.3168 9.9146
17.6150 9.9077
17.9439 9.8006
18.2730 9.3405
