logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.961241990079985625e+14 -4.961241990080045625e+14 3.549999999999999822e-01
-4.961241990080045625e+14 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.371618663076904688e+13 -7.371618663077504688e+13 2.899999999999999800e-01
-7.371618663077504688e+13 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.551350020809060938e+13 -3.551350020809660938e+13 3.099999999999999978e-01
-3.551350020809660938e+13 1.055866473730195117e+13 -7.499999999999999722e-03 4.000000000000000000e+02 -2.167966336009414844e+13 -2.167966336010014844e+13 6.500000000000000222e-02
-2.167966336010014844e+13 6.820173541594513672e+12 -1.000000000000000021e-02 4.000000000000000000e+02 -1.085096418386035156e+13 -1.085096418386635352e+13 3.800000000000000044e-01
-1.085096418386635352e+13 2.992894344599466797e+12 -1.250000000000000069e-02 4.000000000000000000e+02 -8.356183438085925781e+12 -8.356183438091930664e+12 9.899999999999999911e-01
-8.356183438091930664e+12 1.247390372887238770e+12 -1.500000000000000118e-02 4.000000000000000000e+02 -5.711994325528402344e+12 -5.711994325534410156e+12 8.449999999999999734e-01
-5.711994325534410156e+12 1.915180989591631592e+12 -1.750000000000000167e-02 4.000000000000000000e+02 -5.585812963179581055e+12 -5.585812963185590820e+12 6.400000000000000133e-01
-5.585812963185590820e+12 1.443699373978583740e+12 -2.000000000000000042e-02 4.000000000000000000e+02 -5.409380691337833008e+12 -5.409380691343845703e+12 7.199999999999999734e-01
-5.409380691343845703e+12 1.029915590707082062e+11 -2.249999999999999917e-02 4.000000000000000000e+02 -3.596556282268583008e+12 -3.596556282274598145e+12 5.150000000000000133e-01
-3.596556282274598145e+12 8.934457565632296143e+11 -2.499999999999999792e-02 4.000000000000000000e+02 -2.992597964069774414e+12 -2.992597964075791992e+12 4.550000000000000155e-01
-2.992597964075791992e+12 6.754936216485195312e+11 -2.749999999999999667e-02 4.000000000000000000e+02 -2.623438895039042480e+12 -2.623438895045062500e+12 2.399999999999999911e-01
-2.623438895045062500e+12 7.586765332790096436e+11 -2.999999999999999542e-02 4.000000000000000000e+02 -2.464515966952101074e+12 -2.464515966958124023e+12 1.425000000000000044e+00
-2.464515966958124023e+12 1.822487342980163879e+11 -3.249999999999999417e-02 4.000000000000000000e+02 -2.211120356498502441e+12 -2.211120356504527832e+12 4.249999999999999889e-01
-2.211120356504527832e+12 2.445657908265789795e+11 -3.499999999999999639e-02 4.000000000000000000e+02 -1.996060563654310059e+12 -1.996060563660337891e+12 6.350000000000000089e-01
