weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -4.961241990079985625e+14 3.072337832042253414e-01 1.154427676261440183e+01 8.117050396746899210e+00 1.149672343842550598e-01 1.963762559100726435e+01 1.079282236359460113e-02 5.990839320487252451e+01 2.905193995564459009e-02 -8.838959694337045647e+00 6.633992290759533006e+00 -7.358272409530648872e+00 9.991155088679121832e+00
0.000000000000000000e+00 -7.371618663076904688e+13 1.365321024053036014e+00 6.187696569667827662e-02 7.357300742688640760e+00 4.019997777245671311e-01 3.149147348344082076e+01 3.399796209253895529e-02 2.970701300191347727e+01 6.546187773947176325e-02 7.350020396839727965e+00 9.100203582783787937e+00 8.107653787032806036e+00 9.651211743608914873e+00
0.000000000000000000e+00 -3.551350020809060938e+13 1.321838655119758954e+00 2.875316131207902082e+00 1.050366179656743171e+01 7.072687619895913214e-01 2.102609129845241753e+01 4.221906526698420564e-02 3.956064996196968053e+01 4.227834192643702416e-01 -6.776644590606933249e+00 5.976120505247202175e-01 7.721591724779461430e+00 9.944318372812052331e+00
0.000000000000000000e+00 -2.167966336009414844e+13 1.567920637457650868e+00 8.946077246646302328e+00 1.047155973994090594e+01 6.373990993600940902e-01 1.496256400047310464e+01 5.200284708049736360e-02 2.817242309372633358e+01 2.794479826180192861e-01 5.615690208039938014e+00 9.685015331067543087e+00 -1.737744787765901577e+00 9.691165880741397842e+00
0.000000000000000000e+00 -1.085096418386035156e+13 7.783341848487441705e-01 8.481795223146399110e+00 7.786298816653943078e+00 5.748675827078966183e-01 2.391129584472723124e+01 1.313206715801676187e-02 4.256056834299698011e+01 5.566139706208406146e-02 -3.487539778806740820e+00 -3.459902467108295632e+00 -3.336451332317842855e+00 9.216214218272437364e+00
0.000000000000000000e+00 -8.356183438085925781e+12 1.145506402375702004e+00 1.301709712735385516e+01 1.174183102975055704e+01 3.254281098116024729e-01 2.406264072332129444e+01 1.561557912395565920e-02 5.288739768100925431e+01 3.123251669045298273e-01 -5.248514034493377167e+00 7.342177675540032311e+00 2.288234446118586618e-02 9.520191801480628158e+00
0.000000000000000000e+00 -5.711994325528402344e+12 2.070605022338679879e-01 7.972630499072196564e+00 7.008827583724119847e+00 4.558877014686905649e-01 3.731371133020343933e+01 2.212973106978010501e-02 6.709560235199106160e+01 6.870629793670800511e-01 8.457619695042861707e+00 7.459345009576765051e+00 -4.751646857343450492e+00 9.764828872353088940e+00
0.000000000000000000e+00 -5.585812963179581055e+12 1.452754423207226031e+00 8.226694285974044618e+00 1.256290916537753333e+01 7.190204620394884394e-01 1.501287209068460982e+01 3.720329872659411397e-02 4.337333028048210792e+01 9.538303052827495909e-01 -2.709639841441031649e+00 7.136944781705775398e+00 -7.111409020285481830e+00 9.940955225782794002e+00
0.000000000000000000e+00 -5.409380691337833008e+12 1.905824740492062519e+00 6.571286687368868229e+00 9.073855726098226882e+00 1.353206232313532431e-01 2.846852445669066611e+01 1.488725388813893873e-02 7.530803957934345760e+01 3.535147003874088423e-01 -2.132268377499002554e+00 -8.973763022855829163e+00 -6.738469242946725224e+00 9.468568491530504616e+00
0.000000000000000000e+00 -3.596556282268583008e+12 1.934392928738010831e+00 1.897110851779926666e+00 1.126071083603984491e+01 4.756490388846285611e-01 2.471282244189660560e+01 4.102698151933151932e-03 8.089373672350037126e+00 2.435245163195361995e-01 3.585608610283458120e+00 2.200925149601388853e+00 8.604512058838523103e+00 9.259426658926205533e+00
0.000000000000000000e+00 -2.992597964069774414e+12 6.673063606181079965e-01 6.054445543636640892e+00 8.414824493505353331e+00 6.535663786063115044e-01 3.919894711731058123e+01 5.306270977796648247e-02 4.340989637344062402e+01 9.246252213125261132e-01 8.985004015192490812e+00 -7.177310402872016937e-01 -9.596723432148859700e+00 9.786727788789846727e+00
0.000000000000000000e+00 -2.623438895039042480e+12 9.299826434486533344e-01 1.797109605402937405e+00 8.931636654268382713e+00 3.008328037220449613e-01 4.015429379505421537e+01 5.143073109042511915e-02 2.260311226690520670e+01 3.042991167635831218e-01 -6.811722429099700271e+00 -4.279926619023064482e+00 -5.842977447208140163e+00 9.259993142330628757e+00
0.000000000000000000e+00 -2.464515966952101074e+12 7.479248481882361244e-01 2.074985258565502089e-01 8.659007022824267708e+00 7.270391145283660039e-01 2.703356171300688260e+01 3.135354110257351085e-02 2.042754595296050013e+01 5.731176181268383685e-01 5.949220195336968331e+00 8.339285534545979317e-01 2.169748921158888066e+00 9.494967464890951447e+00
0.000000000000000000e+00 -2.211120356498502441e+12 1.499329071910853628e+00 6.019762461920620922e+00 1.105520067025121378e+01 4.938737712618451181e-01 2.371879733840373206e+01 8.385797143079071550e-03 4.315875401132932865e+01 2.829154919161168680e-01 9.572036596699422972e+00 -4.673543733925045629e+00 -6.828213929749811228e-01 9.199164174967673802e+00
0.000000000000000000e+00 -1.996060563654310059e+12 9.254232289276136392e-01 9.946674928392830850e+00 7.928835302450830014e+00 5.467875233035134341e-01 4.087306061992612882e+01 2.733579013982741918e-02 8.608917453150078813e+01 3.905629115131682427e-01 1.610877376746362444e-01 4.341573513897978742e+00 6.100245561271147920e+00 9.288674930192669876e+00
0.000000000000000000e+00 -1.839243880671976807e+12 1.245482489006552784e+00 7.107451887047098182e+00 1.048733658176812433e+01 3.265840675031655427e-01 1.667949550934121916e+01 3.715181114114080724e-02 3.000404816330981106e+01 6.045567589982219214e-01 -4.861456228930367551e+00 -5.181009910999874180e+00 3.930056400545867135e+00 9.456458514067438870e+00
0.000000000000000000e+00 -1.732985988455239014e+12 5.870548186956863201e-01 8.058175833923195697e-01 1.194314299849274263e+01 1.900461916345227431e-01 1.956799542657540059e+01 4.825606943401238025e-02 1.630868178326173989e+01 5.411563852786823725e-01 -2.094401025094909663e+00 8.371915003042467163e+00 5.849325794337650208e+00 9.392363114030864324e+00
0.000000000000000000e+00 -1.631607564323513916e+12 2.227496801346575683e-01 6.867374176570604227e+00 1.290068923808086154e+01 6.722078322637955461e-01 1.825179211134982893e+01 4.716662586755706460e-03 5.806321378100606267e+01 3.411533473278599571e-01 9.448599428980713810e+00 4.985444817494888881e+00 -9.199584045539783261e+00 9.195569261855748522e+00
0.000000000000000000e+00 -1.032202277202505493e+12 1.060801961697012130e+00 1.246447515986123200e+01 7.562009809561024198e+00 7.544717679670407406e-01 4.056261013799989001e+01 3.436777260599676448e-02 6.721158057215122028e+01 1.193658299763644681e-02 -7.136375960363229964e+00 7.470122370229709929e+00 9.138180924443034314e+00 8.611649101438636933e+00
0.000000000000000000e+00 -5.996081385967628174e+11 1.096448114452525102e+00 1.635312845232173906e+00 1.202204981185381705e+01 9.239259489466090935e-02 3.214923468274502483e+01 5.212520327620400601e-02 6.747328638641522502e+01 4.710352010439649018e-01 8.809303958970691184e+00 7.715333306433272753e+00 -4.260246620537180284e+00 9.101745739099825983e+00
0.000000000000000000e+00 -4.793485712100594482e+11 1.506837897815558547e+00 8.987081528825308752e+00 1.131439178335345375e+01 3.570524738440465362e-01 2.372588199733848313e+01 4.114653535712100782e-03 5.818262477498396379e+01 7.100262293124146584e-01 -4.598289339821422850e+00 9.659571858144882839e+00 -9.428397691612062204e+00 9.243695265049783671e+00
0.000000000000000000e+00 -2.622244577916731873e+11 4.859544317588849194e-01 7.237906405882365668e+00 9.683388349923156113e+00 3.892087255409541480e-01 3.393083777947364155e+01 1.865856898704649353e-02 7.805214220445149920e+01 1.664596084457988789e-01 7.682821149460991705e+00 9.013588669854797786e+00 3.663169620898074186e+00 8.590714168875972945e+00
0.000000000000000000e+00 -2.500265071278345642e+11 6.533730190375108826e-01 8.723807820873174634e+00 1.130699457647257233e+01 2.062340617796126208e-01 2.264253036424198484e+01 3.162399619757787217e-02 5.538716883743722974e+01 3.516317297988609258e-01 3.954850940405236770e-01 -2.964017917175580941e+00 -4.626620793766753614e+00 8.799105298319403801e+00
0.000000000000000000e+00 -2.274921601152720032e+11 6.736968908023330815e-01 2.783987224255984660e+00 1.174920449693253843e+01 7.552203905555971986e-01 1.810855956084873952e+01 4.452610625016560630e-02 2.748354790253241475e+01 6.499422570676305355e-02 8.436846970057153783e+00 4.771054285765877978e+00 7.896821543474402461e+00 8.395049058278427623e+00
0.000000000000000000e+00 -1.298589156638778229e+11 2.065006418190677151e-01 8.076372818694780298e-01 1.032724699251730271e+01 2.004667537574983394e-01 2.535174636104516566e+01 2.058742203752520622e-02 5.689159150276781673e+01 3.161907794466420896e-01 -1.737384770109713372e-01 -4.515219519080817534e+00 6.642682189175793894e+00 8.620081985086226695e+00
0.000000000000000000e+00 -1.271383449512615051e+11 1.996334662890569600e+00 2.875244212687907641e+00 9.205668347184730038e+00 9.806907575799599097e-02 3.742114302808463577e+01 4.360382837444522902e-02 8.031382888348028359e+01 2.529037459981786640e-03 7.902674222075724231e+00 3.019803338763662026e+00 -8.727957143798018791e+00 8.134384811212708399e+00
0.000000000000000000e+00 -8.992165124483259583e+10 9.349517237207229936e-01 3.364303400182081294e+00 1.039102919004803915e+01 6.336614333599543958e-01 3.738388712529027913e+01 3.162208958291388983e-02 2.091503446577406322e+01 3.121577901661121146e-01 -9.887983445532702476e+00 9.972629948426913415e+00 -3.580307013321304410e+00 6.140326773321845621e+00
0.000000000000000000e+00 -6.539475929654705811e+10 8.543937229239506603e-01 5.670005951872620464e+00 1.014776236044790814e+01 4.688813680846740106e-01 1.881108652792471148e+01 4.257538777615488268e-02 6.420530516742111615e+01 2.259713145234436837e-01 1.590389784784322913e+00 4.427060472045807771e+00 -5.177895246801441864e+00 8.367974373060953042e+00
0.000000000000000000e+00 -6.536707928228893280e+10 8.756720291111574905e-01 7.485669778234885996e+00 1.229521761800918611e+01 6.428505095533210145e-01 3.233579919969248806e+01 7.960473381945951457e-03 2.510616414354814907e+01 8.988166862581803418e-02 -8.801284891310746872e+00 4.030007593083581696e+00 6.297095735134661254e-01 8.169707226644828069e+00
0.000000000000000000e+00 -6.152457943469981384e+10 5.412682465781913921e-01 1.350521629177310112e+00 7.733598144153774889e+00 3.335392936692572752e-01 2.749556311964001054e+01 3.528820908033230425e-02 1.286359088285671959e+01 5.623950558913314302e-01 4.112256742610412630e+00 -5.263057743403156685e+00 4.596694430000800580e+00 8.684983901845097165e+00
0.000000000000000000e+00 -4.025905709722783661e+10 1.777597946745730573e+00 1.196851851657406662e+01 1.063199253372424558e+01 4.150520550214709115e-01 1.596242440074317770e+01 3.868236858031990494e-02 2.384557169133010390e+01 8.933990933893878328e-01 -4.887617003949447536e+00 7.345812012430709359e+00 -9.347916375344013318e+00 8.831636156448251285e+00
0.000000000000000000e+00 -3.486303786474883270e+10 8.997153742192234294e-01 1.693570227739161549e+00 1.145171056137770549e+01 7.370332414648379793e-02 2.111286757109604650e+01 1.864048145217664029e-02 1.152142462119339328e+01 2.208041849091585407e-01 -8.599048375728790106e+00 8.234363677592256181e+00 -6.574326845390396912e+00 8.224981054507470191e+00
0.000000000000000000e+00 -3.238510587894245911e+10 1.834202294563903601e+00 3.360980516001734308e+00 9.160682604975249888e+00 1.858143914273880926e-01 3.819883935805722786e+01 4.347122497947008418e-02 6.218313884796074120e+01 3.617227028026911428e-01 2.393325547145776611e+00 1.703761622819953914e+00 -4.774647642973770090e+00 8.365494847782976251e+00
0.000000000000000000e+00 -1.706793549501421738e+10 4.914171048601682079e-01 8.651897664525055376e+00 1.086246464900237463e+01 5.552052033512934193e-01 1.482643851806393087e+01 1.743619027858584868e-03 4.657206708769057713e+01 9.317921658197056978e-01 8.315780028516108757e-01 2.405012670380294537e+00 1.560629075931549536e+00 8.669798770672645816e+00
0.000000000000000000e+00 -1.342338846921193695e+10 6.373628416712344702e-01 1.117161053712548657e+01 7.697092547874525792e+00 2.243563543092569890e-01 1.437857343547143252e+01 4.683059649912607592e-02 3.947404286778692040e+01 2.823029665575760294e-02 -3.055728699102592927e+00 2.384067968974697749e+00 -6.772915776639536034e+00 7.705627407787400074e+00
