weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -4.961241990079985625e+14 5.957432400234741188e-02 8.804216179094881412e-01 1.829603569315590983e-01 8.662297917900674271e-02 1.944015745096933090e-01 1.998670808073074179e-01 6.656488133874725044e-01 2.905193995564459009e-02 5.805201528314773984e-02 8.316996145379765837e-01 1.320863795234675786e-01 9.995577544339561138e-01
0.000000000000000000e+00 -7.371618663076904688e+13 6.474005689183534029e-01 9.097342590997925527e-04 5.852186401312098329e-02 4.693330369660895229e-01 6.214332046708394008e-01 6.295918906025731454e-01 3.300779222434830906e-01 6.546187773947176325e-02 8.675010198419863539e-01 9.550101791391893968e-01 9.053826893516402352e-01 9.825605871804456992e-01
0.000000000000000000e+00 -3.551350020809060938e+13 6.232436972887549498e-01 2.164093879690135447e-01 5.738606017546488136e-01 8.763583493194549989e-01 2.444206720933242982e-01 7.818345419811889574e-01 4.395627773552186479e-01 4.227834192643702416e-01 1.611677704696533597e-01 5.298806025262360331e-01 8.860795862389730937e-01 9.972159186406025499e-01
0.000000000000000000e+00 -2.167966336009414844e+13 7.599559096986949758e-01 6.814085726572192137e-01 5.686026440512803592e-01 7.831987991467920240e-01 2.598375860504631429e-02 9.630156866758770029e-01 3.130269232636259114e-01 2.794479826180192861e-01 7.807845104019969229e-01 9.842507665533771766e-01 4.131127606117048767e-01 9.845582940370698477e-01
0.000000000000000000e+00 -1.085096418386035156e+13 3.212967693604134034e-01 6.458461846324591304e-01 1.287869487077976105e-01 6.998234436105287282e-01 3.483593772230341168e-01 2.431864288521622397e-01 4.728952038110775247e-01 5.566139706208406146e-02 3.256230110596629590e-01 3.270048766445852184e-01 3.331774333841078795e-01 9.608107109136219126e-01
0.000000000000000000e+00 -8.356183438085925781e+12 5.252813346531677308e-01 9.932345347370635791e-01 7.766588689631672704e-01 3.672374797488032749e-01 3.538115351053549018e-01 2.891773911843640299e-01 5.876377520112139319e-01 3.123251669045298273e-01 2.375742982753311638e-01 8.671088837770016822e-01 5.011441172230592933e-01 9.760095900740313191e-01
0.000000000000000000e+00 -5.711994325528402344e+12 3.922501241037767983e-03 6.068459378653120462e-01 1.445859447086417227e-03 5.411836019582541013e-01 8.311777316337659594e-01 4.098098346255574231e-01 7.455066927999006721e-01 6.870629793670800511e-01 9.228809847521430854e-01 8.729672504788381637e-01 2.624176571328274976e-01 9.882414436176544248e-01
0.000000000000000000e+00 -5.585812963179581055e+12 6.959746795595700419e-01 6.263063401973555377e-01 9.111422809922922195e-01 8.920272827193178600e-01 2.779609380356240500e-02 6.889499764184093822e-01 4.819258920053567374e-01 9.538303052827495909e-01 3.645180079279484175e-01 8.568472390852888143e-01 1.444295489857259085e-01 9.970477612891397445e-01
0.000000000000000000e+00 -5.409380691337833008e+12 9.476804113844792266e-01 4.995078763736842120e-01 3.396743647166537983e-01 1.137608309751376723e-01 5.125322922834649741e-01 2.756898868173877082e-01 8.367559953260383931e-01 3.535147003874088423e-01 3.933865811250498723e-01 5.131184885720851963e-02 1.630765378526637388e-01 9.734284245765252308e-01
0.000000000000000000e+00 -3.596556282268583008e+12 9.635516270766726343e-01 1.414822661893486710e-01 6.978567642196001897e-01 5.675320518461713926e-01 3.772341537945500534e-01 7.597589170246576984e-02 8.988192969277819522e-02 2.435245163195361995e-01 6.792804305141728616e-01 6.100462574800694648e-01 9.302256029419262440e-01 9.629713329463102101e-01
0.000000000000000000e+00 -2.992597964069774414e+12 2.596146447878378005e-01 4.599196425626672635e-01 2.317324223518478776e-01 8.047551714750819096e-01 8.990928355487040058e-01 9.826427736660459100e-01 4.823321819271180200e-01 9.246252213125261132e-01 9.492502007596245184e-01 4.641134479856399153e-01 2.016382839255703718e-02 9.893363894394924252e-01
0.000000000000000000e+00 -2.623438895039042480e+12 4.055459130270295809e-01 1.338225185648127535e-01 3.163804719610175953e-01 3.344437382960600003e-01 9.335089384772987664e-01 9.524209461189835357e-01 2.511456918545023065e-01 3.042991167635831218e-01 1.594138785450149864e-01 2.860036690488467759e-01 2.078511276395930141e-01 9.629996571165314601e-01
0.000000000000000000e+00 -2.464515966952101074e+12 3.044026934379089333e-01 1.206383923206000297e-02 2.717267886317804582e-01 9.027188193711546127e-01 4.608381516789666899e-01 5.806211315291390784e-01 2.269727328106722064e-01 5.731176181268383685e-01 7.974610097668484165e-01 5.416964276727298522e-01 6.084874460579443589e-01 9.747483732445475502e-01
0.000000000000000000e+00 -2.211120356498502441e+12 7.218494843949186945e-01 4.572630391461022237e-01 6.641964984023618346e-01 5.918316950157934686e-01 3.414246711508075460e-01 1.552925396866494667e-01 4.795417112369925183e-01 2.829154919161168680e-01 9.786018298349711264e-01 2.663228133037477408e-01 4.658589303512509217e-01 9.599582087483836679e-01
0.000000000000000000e+00 -1.996060563654310059e+12 4.030129049597853674e-01 7.580508745639454871e-01 1.521328303198672405e-01 6.623833644046845937e-01 9.594023168735852369e-01 5.062183359227299118e-01 9.565463836833421052e-01 3.905629115131682427e-01 5.080543868837318344e-01 7.170786756948989149e-01 8.050122780635573516e-01 9.644337465096335382e-01
0.000000000000000000e+00 -1.839243880671976807e+12 5.808236050036403864e-01 5.405762656526719168e-01 5.711867142242705864e-01 3.687787566708874420e-01 8.783574690118323147e-02 6.879965026137185857e-01 3.333783129256645550e-01 6.045567589982219214e-01 2.569271885534816224e-01 2.409495044500062910e-01 6.965028200272933567e-01 9.728229257033719213e-01
